number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
29,0.00860899318558687,2024-10-18 16:10:16.096735,2024-10-18 16:12:40.674654,0 days 00:02:24.577919,0.048590783116646975,96,0.2,50,0.0004916221863188316,72,0.0002877805171392254,adam,0.9959685891114508,0.8956391177867193,COMPLETE
30,0.008053339277005203,2024-10-18 16:10:18.522250,2024-10-18 16:11:29.433182,0 days 00:01:10.910932,0.04892109507281334,96,0.2,50,0.0005039045319210764,16,0.00028256165168858804,adam,0.996412067843997,0.9023749265920887,COMPLETE
31,0.009142334440649812,2024-10-18 16:10:31.184727,2024-10-18 16:11:47.037302,0 days 00:01:15.852575,0.10326948191278913,96,0.2,30,0.0005258636348109234,16,0.0002568581557105716,adam,0.9960429295619004,0.8891737898791201,COMPLETE
32,0.007015117174268808,2024-10-18 16:11:08.210556,2024-10-18 16:12:23.255868,0 days 00:01:15.045312,0.10432714557783139,128,0.1,30,0.000536206638474224,16,0.0004322471491549536,adam,0.9972072532055065,0.9149605765326991,COMPLETE
33,0.008691415786075508,2024-10-18 16:11:14.950302,2024-10-18 16:12:22.718356,0 days 00:01:07.768054,0.10145505856805982,128,0.1,30,0.00040214761952258465,16,0.0004056420077635405,adam,0.9964783249188399,0.8946399654914535,COMPLETE
34,0.0083641319835057,2024-10-18 16:11:19.251002,2024-10-18 16:12:17.799098,0 days 00:00:58.548096,0.09304428825468485,128,0.1,30,0.0004021946019180731,16,0.000429710752026222,adam,0.9967765941219867,0.89860740112928,COMPLETE
35,0.008625904598775316,2024-10-18 16:11:29.443378,2024-10-18 16:12:28.038458,0 days 00:00:58.595080,0.0263000955242734,128,0.2,30,0.00037886059371618,16,0.0004422167581053044,adam,0.9966477122452047,0.8954341123973814,COMPLETE
36,0.010325893192436014,2024-10-18 16:11:35.373186,2024-10-18 16:12:31.490322,0 days 00:00:56.117136,0.02799423795969546,128,0.2,30,0.00041729447360563113,32,0.00044184084055194016,adam,0.9965421411020433,0.8748263240576291,COMPLETE
37,0.008863060332419364,2024-10-18 16:11:47.056812,2024-10-18 16:12:51.598845,0 days 00:01:04.542033,0.026216027918350288,128,0.2,30,0.0003691245742062918,16,0.00042472043566506995,adam,0.9965539552778303,0.8925592371301473,COMPLETE
38,0.009032628729601441,2024-10-18 16:12:17.810471,2024-10-18 16:13:14.745116,0 days 00:00:56.934645,0.10201074837228329,128,0.2,30,0.0004158266121064177,32,0.0004276934957990926,adam,0.9966930802256541,0.8905036764921112,COMPLETE
39,0.009364056492603046,2024-10-18 16:12:22.729153,2024-10-18 16:13:19.070832,0 days 00:00:56.341679,0.05507091376718492,128,0.2,30,0.00038240482500195817,32,0.00046379451604294683,adam,0.9966725970391385,0.8864860064822512,COMPLETE
40,0.008343880080134284,2024-10-18 16:12:23.287431,2024-10-18 16:13:59.960388,0 days 00:01:36.672957,0.1321074251927244,128,0.2,30,0.0003769184263499594,40,0.0004467620070775587,adam,0.9966580379176178,0.8988529009754034,COMPLETE
41,0.08264934979249829,2024-10-18 16:12:28.052581,2024-10-18 16:14:01.576156,0 days 00:01:33.523575,0.05579321868014517,128,0.1,30,0.0002300223002025583,40,0.0007045075357109342,sgd,0.9922128054160192,-0.0019010205676166514,COMPLETE
42,0.08235469524421918,2024-10-18 16:12:31.501252,2024-10-18 16:13:58.070837,0 days 00:01:26.569585,0.055801324403536766,128,0.3,30,0.0002625109662229058,40,0.0008987180788010613,sgd,0.9922488230609905,0.001670873142096685,COMPLETE
43,0.08279112989490536,2024-10-18 16:12:40.692510,2024-10-18 16:14:13.154372,0 days 00:01:32.461862,0.057102175516148775,128,0.3,30,0.00024928402383285703,40,0.0009876502626937826,sgd,0.9922018202275384,-0.0036197228883785293,COMPLETE
44,0.08261077331824936,2024-10-18 16:12:51.627552,2024-10-18 16:14:18.541416,0 days 00:01:26.913864,0.05321140420850149,128,0.3,30,0.00013934603282390857,40,0.0007802805240296681,sgd,0.9922232615486709,-0.001433384596893017,COMPLETE
45,0.08245195763617894,2024-10-18 16:13:14.765910,2024-10-18 16:15:05.315267,0 days 00:01:50.549357,0.05668037320087964,128,0.3,30,0.0001309081544158584,40,0.0009072974852039554,sgd,0.9922364256268993,0.000491828297678909,COMPLETE
46,0.08269868120769487,2024-10-18 16:13:19.090673,2024-10-18 16:15:27.271267,0 days 00:02:08.180594,0.13241589671411452,128,0.3,30,0.00024085153715900105,40,0.00023916532471449087,sgd,0.9922121923147007,-0.002499031264078244,COMPLETE
47,0.08284653922366567,2024-10-18 16:13:58.158123,2024-10-18 16:16:38.883436,0 days 00:02:40.725313,0.13383705558299566,128,0.1,30,0.0006350304068041912,80,0.00024553067551717056,adadelta,0.9921969488278887,-0.004291411935821721,COMPLETE
48,0.08240054311853182,2024-10-18 16:13:59.976296,2024-10-18 16:16:31.179355,0 days 00:02:31.203059,0.1370058639491137,128,0.1,30,0.000675590454285208,40,0.00023473950102544043,adadelta,0.9922421061982662,0.0011150910073309817,COMPLETE
49,0.0825087204036861,2024-10-18 16:14:01.590040,2024-10-18 16:16:31.777258,0 days 00:02:30.187218,0.1332053601356416,128,0.3,30,0.00012663212663347815,24,0.0007004297892132631,adadelta,0.9922209137086943,-0.0001962675535098768,COMPLETE
50,0.0826014916042605,2024-10-18 16:14:13.207554,2024-10-18 16:15:18.478403,0 days 00:01:05.270849,0.13242112267755132,128,0.1,10,0.00016302122202028184,24,0.0002399121184179381,adadelta,0.9922265910948099,-0.0013208687847130474,COMPLETE
51,0.0827174728672858,2024-10-18 16:14:18.574217,2024-10-18 16:15:34.037856,0 days 00:01:15.463639,0.1298354699288011,128,0.1,10,0.0006922317361006429,24,0.0005021075135766823,adadelta,0.9922125550898114,-0.0027268295827531652,COMPLETE
52,0.008553942476367702,2024-10-18 16:15:05.378822,2024-10-18 16:16:14.817538,0 days 00:01:09.438716,0.1468439275486919,128,0.1,10,0.0006813800085788503,24,0.0005030190507156187,adam,0.9967708619902664,0.8963064595369948,COMPLETE
53,0.08220719741067456,2024-10-18 16:15:18.515312,2024-10-18 16:17:48.909831,0 days 00:02:30.394519,0.17228163532028623,128,0.1,30,0.0006653433683190545,24,0.0004889350339844486,adadelta,0.9922548135355167,0.0034588875708960742,COMPLETE
54,0.08266987286370113,2024-10-18 16:15:27.298465,2024-10-18 16:18:01.338228,0 days 00:02:34.039763,0.17144153726758662,128,0.1,30,0.0006735712424356584,24,0.0005072025457003437,adadelta,0.9922104790802415,-0.0021498075941925876,COMPLETE
55,0.01174260207148597,2024-10-18 16:15:34.073806,2024-10-18 16:16:57.253655,0 days 00:01:23.179849,0.17820185947300293,128,0.2,30,0.0006413727564262002,48,0.00061014855107809,adam,0.9960511253554267,0.857652540170267,COMPLETE
56,0.010887517780693832,2024-10-18 16:16:14.845657,2024-10-18 16:17:39.702911,0 days 00:01:24.857254,0.17876304926406433,128,0.2,30,3.7564410546016353e-05,48,0.0006127386541442867,adam,0.9957626729344469,0.8680181368236812,COMPLETE
57,0.011649325890891236,2024-10-18 16:16:31.195436,2024-10-18 16:17:29.352673,0 days 00:00:58.157237,0.17999016682529628,128,0.1,10,0.0006748549895828727,24,0.000621876811831434,adam,0.9957466836104615,0.8587832629257047,COMPLETE
58,0.010919006469108363,2024-10-18 16:16:31.805867,2024-10-18 16:17:29.159410,0 days 00:00:57.353543,0.17384868383839902,128,0.1,10,0.0007125492688057871,24,0.0006368644230937097,adam,0.9961100243476304,0.8676364211884334,COMPLETE
59,0.009106092630713707,2024-10-18 16:16:38.924279,2024-10-18 16:17:40.238108,0 days 00:01:01.313829,0.15817959381337418,128,0.1,10,5.473551945306748e-05,24,0.0006198504347947679,adam,0.9965452704805637,0.8896131243258322,COMPLETE
60,0.011492745194530715,2024-10-18 16:16:57.318022,2024-10-18 16:17:54.018823,0 days 00:00:56.700801,0.2376450559322047,128,0.1,10,5.162347120992009e-05,24,0.0005105447469533946,adam,0.9959829666204858,0.8606813826311671,COMPLETE
