Year,Iteration,Alloy Name,Aluminum,Cobalt,Chromium,Iron,Nickel,Vanadium,Manganese,Copper,Predicted Yield Strength at 298K (MPa),Computed Stacking Fault Energy,Computed Valence Electron Concentration,Computed Pugh Ratio,Yield Strength (MPa),Ultimate Tensile Strength (MPa),UTS/YS,Tension Elongation (%),Hardness (GPa),Modulus (GPa),SFE_calc
2,BBA,BBA04,0,12,8,16.0,36,4,20,4,156.623,133.0,764.0,0.327608586,399.172,918.517,2.47792,31.6783,2.2553,196.68,133.0
2,BBA,BBA05,4,12,8,8.0,56,4,8,0,388.777,204.2,784.0,0.319624316,313.0,1160.0,3.71,47.8,2.31,201.97,204.2
2,BBA,BBA06,4,0,8,24.0,44,4,12,4,349.492,180.6,840.0,0.316996966,230.0,976.0,4.24,49.0,1.89148,180.202,180.6
2,BBA,BBA07,4,12,0,16.0,52,8,8,0,400.649,250.0,780.0,0.299712871,410.0,1259.0,3.07,40.6,4.28,204.213,250.0
2,BBA,BBA08,0,24,8,12.0,32,8,16,0,215.382,165.8,664.0,0.269108196,270.0,1049.0,3.89,45.4,1.98704,189.88,165.8
2,BBA,BBA09,4,16,8,12.0,48,12,0,0,447.194,54.1,728.0,0.324513279,399.172,918.517,2.47792,31.6783,2.45375,202.917,54.1
2,BBA,BBA10,4,0,4,20.0,52,12,8,0,407.464,293.4,832.0,0.3328117,366.0,1276.0,3.49,46.6,4.28,224.334,293.4
2,BBA,BBA11,0,16,0,20.0,28,12,20,4,223.104,258.3,716.0,0.268852866,349.0,1071.0,3.07,38.6,2.528,189.88,258.3
2,BBA,BBA12,0,0,8,16.0,52,8,12,4,195.766,296.4,864.0,0.288847369,316.0,1101.0,3.48,43.5,2.31,180.202,296.4
2,BBA,BBA13,4,20,4,16.0,52,0,0,4,345.903,36.5,768.0,0.349108923,177.0,800.0,4.52,42.0,1.89148,210.354,36.5
2,BBA,BBA14,0,16,8,16.0,36,0,20,4,108.103,75.5,752.0,0.320241427,259.0,954.0,3.68,41.4,1.98704,189.88,75.5
2,BBA,BBA15,0,20,8,0.0,44,4,20,4,169.325,136.9,732.0,0.321453467,341.0,1096.0,3.21,41.0,2.31,201.97,136.9
2,BBA,BBA16,4,12,0,20.0,44,0,8,12,322.752,118.0,824.0,0.312847006,399.172,918.517,2.47792,31.6783,2.38205,193.399,118.0
2,BBA,BBA17,4,0,4,16.0,56,4,12,4,391.19,91.8105,872.0,0.294124541,310.0,1057.0,3.41,42.0,2.228,180.202,91.81050471
2,BBA,BBA18,0,4,8,16.0,44,4,20,4,258.441,52.5561,828.0,0.277308902,267.0,1019.0,3.82,46.7,1.98704,210.354,52.55614304
2,BBA,BBA19,4,8,0,20.0,48,0,8,12,535.383,307.075,856.0,0.319392161,233.0,911.0,3.91,42.1,1.94288,180.202,307.0749622
2,BBB,BBB01,0,24,4,8.0,36,24,4,0,844.1,276.742,644.0,0.27272848,432.0,1447.0,3.35,48.8,2.64,202.49,276.7416733
2,BBB,BBB02,4,32,8,4.0,24,4,20,4,409.112,137.193,600.0,0.32481769,311.0,1127.0,3.62,48.8,2.22,195.91,137.1925269
2,BBB,BBB03,4,0,12,4.0,52,8,16,4,572.302,218.716,832.0,0.266177634,307.0,1220.0,3.97,55.7,2.23,184.96,218.7158454
2,BBB,BBB04,4,12,4,28.0,40,12,0,0,555.057,22.0799,744.0,0.343923308,262.0,1097.0,4.19,50.6,2.11,193.96,22.07993065
