Nb,Cr,V,W,Zr,PROP LT (K),PROP ST (K),PROP 500C CTE (1/K),PROP 1000C CTE (1/K),PROP 1500C CTE (1/K),EQ 1273K THCD (W/mK),EQ 1273K Density (g/cc),EQ 1523K THCD (W/mK),EQ 1523K Density (g/cc),EQ 2/3*ST THCD (W/mK),EQ 2/3*ST Density (g/cc),Pugh_Ratio_PRIOR,YS 1000C PRIOR,YS 1500C PRIOR,1000 Min Creep NH [1/s],1300 Min Creep NH [1/s],1500 Min Creep NH [1/s],SCHEIL ST,SCHEIL LT,Kou Criteria
0,0,0.95,0.05,0,2249.306579,2221.538556,9.82E-06,1.07E-05,1.19E-05,42.94416205,6.6541993,46.11027817,6.588639244,45.57258716,6.600070626,3.384138786,6.308777417,1.486371624,6.90E-06,7.14E-05,1.49E-09,2249.396574,2186.300949,50.6879682
0.3,0,0.55,0.15,0,2466.941774,2293.960933,8.56E-06,9.25E-06,1.01E-05,25.21689442,8.701440156,25.93443296,8.629628227,25.95204155,8.627744593,3.384138786,480.9451833,283.3251272,1.17E-11,5.20E-09,9.42E-08,2467.031771,2132.936146,185.1918895
0.4,0.05,0.45,0.1,0,2418.415058,2273.071154,8.51E-06,9.20E-06,1.01E-05,24.92380785,8.317498948,25.53546162,8.248522945,25.51745439,8.250713514,3.37037037,483.4615184,282.0089632,1.71E-06,1.85E-05,7.27E-08,2409.399569,2074.303944,182.2077103
0.1,0.05,0.85,0,0,2153.171322,2150.564639,9.77E-06,1.07E-05,1.19E-05,27.69932297,6.228303298,28.86907344,6.166690656,28.45647587,6.189397493,3.37037037,85.41837242,34.07857833,1.99E-07,1.29E-06,1.03E-06,2141.801167,2120.705542,32.54099627
0.25,0.05,0.65,0.05,0,2241.763193,2189.659235,9.14E-06,9.94E-06,1.10E-05,23.50833368,7.295235286,24.19774504,7.228900104,24.02746073,7.246262096,3.37037037,313.959033,165.3085084,1.82E-06,1.36E-08,2.18E-07,2225.285351,2098.189726,76.0682689
0.35,0.1,0.55,0,0,2171.117902,2162.451129,9.09E-06,9.90E-06,1.10E-05,22.43624802,6.907987521,22.99119366,6.844897481,22.81554201,6.86613112,3.356703567,301.6478717,154.9644445,1.61E-13,3.48E-05,0.000170813,2119.546658,2046.451033,94.87839554
0.7,0,0,0.3,0,2989.251437,2939.280463,6.80E-06,7.18E-06,7.56E-06,54.94177201,11.55132215,56.15102299,11.48183671,58.15514924,11.35373712,3.343137255,106.7669457,54.30353955,1.73E-06,1.83E-05,3.36E-08,2989.341432,2818.245807,241.6231191
0.25,0,0.6,0.15,0,2443.418174,2284.218912,8.68E-06,9.39E-06,1.03E-05,25.70019015,8.596970112,26.47913569,8.524590944,26.4785665,8.524647367,3.343137255,454.9071372,264.8415884,1.27E-11,5.70E-09,1.04E-07,2443.508172,2133.412547,176.7795769
0.4,0,0,0,0.6,2144.533312,2043.044185,7.77E-06,8.32E-06,8.86E-06,0.999212719,7.080099458,1.001317006,7.029509809,1.000015307,7.062351725,3.343137255,35.24377094,12.57581707,4.84E-08,2.31E-06,1.73E-05,2144.623309,2016.360184,8.24527165
0.05,0.05,0.9,0,0,2166.165282,2163.523946,9.89E-06,1.08E-05,1.21E-05,32.20130242,6.100478568,33.84738447,6.039117767,33.32027619,6.059591097,3.32967033,36.35101024,12.1716894,4.50E-06,6.85E-05,1.93E-08,2160.571009,2137.475384,36.54514521
0.2,0.05,0.7,0.05,0,2231.336098,2186.637472,9.26E-06,1.01E-05,1.12E-05,24.50422275,7.178346142,25.28451773,7.111881299,25.08523712,7.12983818,3.32967033,272.9882571,139.9350767,2.87E-06,1.78E-05,5.89E-05,2216.322863,2104.227238,76.23600183
0.3,0.1,0.6,0,0,2157.242304,2153.887926,9.21E-06,1.00E-05,1.12E-05,22.476889,6.783718661,23.05907862,6.720636634,22.86151896,6.743344516,3.316301703,280.9518102,142.0878667,1.34E-14,2.59E-11,3.15E-10,2105.969316,2057.873691,73.26833364
