Year,Iteration,Alloy Name,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS_pred(MPa) at 298K,SFE_calc,VEC Avg,Yield Strength(Mpa),UTS_True(Mpa),UTS/YS,Elong_T(%),Hardness (GPa),Modulus(Gpa),Cracked,Processing,Recryst,XRD Phase,Tension Test Designation,EDS Measured Atomic %s Al ,EDS Measured Atomic %s Co ,EDS Measured Atomic %s Cr ,EDS Measured Atomic %s Cu,EDS Measured Atomic %s Fe ,EDS Measured Atomic %s Mn,EDS Measured Atomic %s Ni ,EDS Measured Atomic %s V ,Grain Size(um)
1,AAE,AAE13,0,10,5,0,10,0,55,20,322.7157021,678.9,780,469,1040,2.22,33,2.76,211.4,0,Forged,No Treatment,FCC,Ductile,0,10.3,5.4,0,10.1,0,53.3,20.9,N/A
1,AAE,AAE14,0,20,20,0,15,0,30,15,289.5827743,630.3,655,470,967,2.06,31,2.51,193.22,0,Forged,No Treatment,FCC,Ductile,0,19.8,21.1,0,14.8,0,28.5,15.9,N/A
1,AAE,AAE15,0,30,5,0,15,0,20,30,368.6729682,707.5,560,,,,,4.28,202.06,1,Forged,No Treatment,FCC + FCC,Brittle,,,,,,,,,N/A
1,AAE,AAE16,0,30,0,0,15,0,50,5,148.4222272,412.1,705,339,620,1.83,22,1.92,188.44,0,Forged,No Treatment,FCC,Ductile,0,30.9,0,0,15.6,0,48.4,5.2,N/A
2,BAA,BAA01,4,8,4,4,16,12,48,4,364.1664646,228.4,808,277.1,930,3.36,41,2.14,198.95,0,Forged,925C for 30min/ water quench,FCC,N/A,4.1,8.2,4.2,4.1,16.1,12.2,47.1,4.1,19.9
2,BAA,BAA02,4,16,0,4,12,8,52,4,372.3869586,195.2,780,267.5,949,3.55,42.3,1.99,192.46,0,Forged,925C for 30min/ water quench,FCC,N/A,3.7,16.2,0,4.2,12.4,8.3,51.2,4,19
2,BAA,BAA03,4,12,8,4,16,8,48,0,345.3217004,131.5,792,226.3,888,3.92,42.2,1.86,188.59,0,Forged,925C for 30min/ water quench,FCC,N/A,4,12.2,8.3,4.1,16.2,8.1,47.1,0,24
2,BAA,BAA04,0,12,8,4,16,20,36,4,156.6231368,133,764,271.2,906,3.34,39.1,1.91,183.07,0,Forged,925C for 30min/ water quench,FCC,N/A,0,11.8,8.1,4.1,15.9,20.5,35.4,4,15
2,BAA,BAA05,4,12,8,0,8,8,56,4,388.7773503,204.2,784,304.1,938,3.08,39,2.25,202.62,0,Forged,925C for 30min/ water quench,FCC,N/A,4,12.2,8.3,0,8.2,8.1,55.1,4.1,26
2,BAA,BAA06,4,0,8,4,24,12,44,4,349.4921837,180.6,840,241.5,864,3.58,41.8,1.84,180.09,0,Forged,925C for 30min/ water quench,FCC,N/A,4.1,0,8.4,4.1,23.9,12.1,43.3,4.1,28
