number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
33,-0.3808921271662955,2025-05-07 07:45:47.521562,2025-05-07 07:46:07.492490,0 days 00:00:19.970928,0.0831517263580266,120,0.1,136,100,7.629783107798789e-05,1554,0.00018589009204258365,2,4,adam,"{'neurons_per_layer_encoder': [136, 272, 544, 1088], 'neurons_per_layer_decoder': [1088, 544]}",136,,"[1088, 544]","[136, 272, 544, 1088]",[-0.3808921271662955],0.8705264110574362,COMPLETE
34,-0.5784596689627979,2025-05-07 07:45:57.245270,2025-05-07 07:46:17.705031,0 days 00:00:20.459761,0.07510883539911134,80,0.1,136,100,7.158902191326723e-05,1588,0.00019128532841350618,2,4,adam,"{'neurons_per_layer_encoder': [136, 272, 544, 1088], 'neurons_per_layer_decoder': [1088, 544]}",136,,"[1088, 544]","[136, 272, 544, 1088]",[-0.5784596689627979],0.8375677940993863,COMPLETE
35,-0.07348026770164684,2025-05-07 07:46:00.437411,2025-05-07 07:46:12.736158,0 days 00:00:12.298747,0.06848673023260306,80,0.1,136,100,4.712101965195543e-05,1671,0.0002300315312186676,2,4,sgd,"{'neurons_per_layer_encoder': [136, 272, 544, 1088], 'neurons_per_layer_decoder': [1088, 544]}",136,,"[1088, 544]","[136, 272, 544, 1088]",[-0.07348026770164684],0.881334112924899,COMPLETE
36,-0.05387299375191246,2025-05-07 07:46:07.518894,2025-05-07 07:46:21.075323,0 days 00:00:13.556429,0.05979851613012475,88,0.2,188,80,4.766401344930736e-05,2037,0.005910037251352703,2,4,sgd,"{'neurons_per_layer_encoder': [188, 376, 752, 1504], 'neurons_per_layer_decoder': [1504, 752]}",188,,"[1504, 752]","[188, 376, 752, 1504]",[-0.05387299375191246],0.9024835162163337,COMPLETE
37,-0.10084345645670023,2025-05-07 07:46:12.745263,2025-05-07 07:46:24.923570,0 days 00:00:12.178307,0.06033426743674517,88,0.2,196,120,0.00017449863659147252,2074,0.004881383817734479,3,4,sgd,"{'neurons_per_layer_encoder': [196, 392, 784, 1568], 'neurons_per_layer_decoder': [1568, 784, 392]}",196,,"[1568, 784, 392]","[196, 392, 784, 1568]",[-0.10084345645670023],0.9725838388886892,COMPLETE
38,-0.9559190268958042,2025-05-07 07:46:17.718260,2025-05-07 07:46:21.943681,0 days 00:00:04.225421,0.05434957973232567,88,0.2,160,120,0.00016822406669376812,1905,0.0003473585900766244,3,4,sgd,"{'neurons_per_layer_encoder': [160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280, 640, 320]}",160,,"[1280, 640, 320]","[160, 320, 640, 1280]",[-0.9559190268958042],0.9432508644469747,COMPLETE
39,-0.0773114838997857,2025-05-07 07:46:19.604985,2025-05-07 07:46:30.886842,0 days 00:00:11.281857,0.05924084532314033,72,0.2,160,80,0.00017691466895751115,1904,0.005937364068168577,3,4,sgd,"{'neurons_per_layer_encoder': [160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280, 640, 320]}",160,,"[1280, 640, 320]","[160, 320, 640, 1280]",[-0.0773114838997857],0.968378527839107,COMPLETE
40,-0.8182771858703823,2025-05-07 07:46:21.087033,2025-05-07 07:46:24.271911,0 days 00:00:03.184878,0.129353736378882,64,0.2,160,120,0.00017498700484213763,639,0.000354341514737958,3,2,sgd,"{'neurons_per_layer_encoder': [160, 320], 'neurons_per_layer_decoder': [320, 160, 80]}",160,,"[320, 160, 80]","[160, 320]",[-0.8182771858703823],0.8315755287618731,COMPLETE
41,-0.08208771009890481,2025-05-07 07:46:21.953958,2025-05-07 07:46:29.706934,0 days 00:00:07.752976,0.15075658230674754,64,0.2,220,120,0.0002704578213865683,627,0.0043233714599978336,3,2,sgd,"{'neurons_per_layer_encoder': [220, 440], 'neurons_per_layer_decoder': [440, 220, 110]}",220,,"[440, 220, 110]","[220, 440]",[-0.08208771009890481],0.9335691108133323,COMPLETE
42,-0.08855786974878721,2025-05-07 07:46:24.281188,2025-05-07 07:46:34.517723,0 days 00:00:10.236535,0.04399765067123818,72,0.2,216,80,1.8978738011824925e-05,1369,0.0007634320691768092,5,3,sgd,"{'neurons_per_layer_encoder': [216, 432, 864], 'neurons_per_layer_decoder': [864, 432, 216, 108, 54]}",216,,"[864, 432, 216, 108, 54]","[216, 432, 864]",[-0.08855786974878721],0.8061713356005029,COMPLETE
43,-0.8964636553926115,2025-05-07 07:46:24.935056,2025-05-07 07:46:46.294325,0 days 00:00:21.359269,0.04129053660718035,72,0.2,208,140,0.00033348587923267425,1297,0.001882300679161176,5,3,adam,"{'neurons_per_layer_encoder': [208, 416, 832], 'neurons_per_layer_decoder': [832, 416, 208, 104, 52]}",208,,"[832, 416, 208, 104, 52]","[208, 416, 832]",[-0.8964636553926115],-0.13261044367237487,COMPLETE
44,-0.29510111189274424,2025-05-07 07:46:29.717599,2025-05-07 07:46:44.081133,0 days 00:00:14.363534,0.042299271199584224,72,0.1,236,80,0.0007364801107521004,1431,0.0017145306490521954,5,3,adam,"{'neurons_per_layer_encoder': [236, 472, 944], 'neurons_per_layer_decoder': [944, 472, 236, 118, 59]}",236,,"[944, 472, 236, 118, 59]","[236, 472, 944]",[-0.29510111189274424],0.33767904742667987,COMPLETE
