number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_r2_feature_3,user_attrs_relative_deterioration,state
35,0.41550434870555186,0.5156812392475123,0.2696517397467396,2024-12-23 18:30:56.803424,2024-12-23 18:31:01.085502,0 days 00:00:04.282078,0.04497120564728605,40,0.4,224,100,4.445356895621506e-06,360,0.0002252513971783195,1,1,adam,"{'neurons_per_layer_encoder': [224], 'neurons_per_layer_decoder': [224]}",224,[224],[224],[0.41550434870555186],[0.5156812392475123],[0.2696517397467396],0.14907728505510395,COMPLETE
36,0.3779477202128948,0.32027284562260583,0.3126808455796898,2024-12-23 18:30:58.268011,2024-12-23 18:31:01.770708,0 days 00:00:03.502697,0.0485582623815946,40,0.4,224,100,3.991499504996995e-06,360,0.00020758601445095123,1,1,adam,"{'neurons_per_layer_encoder': [224], 'neurons_per_layer_decoder': [224]}",224,[224],[224],[0.3779477202128948],[0.32027284562260583],[0.3126808455796898],0.04813991199399007,COMPLETE
37,0.4432824849336321,0.4657997416542349,0.25148643544982274,2024-12-23 18:30:58.904876,2024-12-23 18:31:02.163147,0 days 00:00:03.258271,0.04817423369220193,40,0.30000000000000004,224,100,2.32929471508259e-06,376,7.681362287879479e-05,1,1,adam,"{'neurons_per_layer_encoder': [224], 'neurons_per_layer_decoder': [224]}",224,[224],[224],[0.4432824849336321],[0.4657997416542349],[0.25148643544982274],0.06264247863138486,COMPLETE
38,0.6085477812189252,0.04456396691365172,0.2983671641559046,2024-12-23 18:30:58.944321,2024-12-23 18:31:02.497898,0 days 00:00:03.553577,0.07507610699546094,32,0.30000000000000004,228,100,2.3804801446748747e-06,412,8.19326889905941e-05,1,1,adam,"{'neurons_per_layer_encoder': [228], 'neurons_per_layer_decoder': [228]}",228,[228],[228],[0.6085477812189252],[0.04456396691365172],[0.2983671641559046],0.038032455739152655,COMPLETE
39,0.5592103173445815,0.5661803374155624,0.39020808278995467,2024-12-23 18:30:59.156531,2024-12-23 18:31:02.183566,0 days 00:00:03.027035,0.07385151875027111,32,0.30000000000000004,148,100,1.7850118906727366e-06,252,0.00023064401330776424,1,1,adam,"{'neurons_per_layer_encoder': [148], 'neurons_per_layer_decoder': [148]}",148,[148],[148],[0.5592103173445815],[0.5661803374155624],[0.39020808278995467],0.027326154474236353,COMPLETE
40,-0.6014214186428846,-0.9274807320611669,-0.2023632579023278,2024-12-23 18:30:59.596166,2024-12-23 18:31:02.402094,0 days 00:00:02.805928,0.07251101395591837,32,0.30000000000000004,152,100,1.9306827292939627e-06,240,2.638653198434714e-05,5,1,adam,"{'neurons_per_layer_encoder': [152], 'neurons_per_layer_decoder': [152, 76, 38, 19, 9]}",152,"[152, 76, 38, 19, 9]",[152],[-0.6014214186428846],[-0.9274807320611669],[-0.2023632579023278],-0.14595318046436678,COMPLETE
41,0.6608628572317037,0.6681522894516746,0.20782862415241732,2024-12-23 18:31:01.092060,2024-12-23 18:31:50.723407,0 days 00:00:49.631347,0.07244418360325808,32,0.30000000000000004,152,100,1.9134162858054435e-06,2616,0.0015029755623205568,5,5,adam,"{'neurons_per_layer_encoder': [152, 304, 608, 1216, 2432], 'neurons_per_layer_decoder': [2432, 1216, 608, 304, 152]}",152,"[2432, 1216, 608, 304, 152]","[152, 304, 608, 1216, 2432]",[0.6608628572317037],[0.6681522894516746],[0.20782862415241732],0.3596558187786078,COMPLETE
42,0.3012183926766634,0.2724479398995425,0.16482545809904892,2024-12-23 18:31:01.777972,2024-12-23 18:31:30.524573,0 days 00:00:28.746601,0.07716935899548251,32,0.30000000000000004,160,100,1.931232722041061e-06,2744,0.0017825875919606432,5,5,adam,"{'neurons_per_layer_encoder': [160, 320, 640, 1280, 2560], 'neurons_per_layer_decoder': [2560, 1280, 640, 320, 160]}",160,"[2560, 1280, 640, 320, 160]","[160, 320, 640, 1280, 2560]",[0.3012183926766634],[0.2724479398995425],[0.16482545809904892],0.12083251216672924,COMPLETE
43,0.6432827361093946,0.6620021444830888,0.31498254642146684,2024-12-23 18:31:02.170333,2024-12-23 18:31:55.504326,0 days 00:00:53.333993,0.07117388100821186,32,0.2,156,100,1.743324887276687e-06,2680,0.0010179714210040581,5,5,adam,"{'neurons_per_layer_encoder': [156, 312, 624, 1248, 2496], 'neurons_per_layer_decoder': [2496, 1248, 624, 312, 156]}",156,"[2496, 1248, 624, 312, 156]","[156, 312, 624, 1248, 2496]",[0.6432827361093946],[0.6620021444830888],[0.31498254642146684],0.2663311543894485,COMPLETE
44,0.5721785485488575,0.6784205625355941,0.22737737178099993,2024-12-23 18:31:02.191511,2024-12-23 18:31:55.246333,0 days 00:00:53.054822,0.07132336773432592,32,0.2,160,100,1.7127457681647258e-06,2712,0.0014316992673530815,5,5,adam,"{'neurons_per_layer_encoder': [160, 320, 640, 1280, 2560], 'neurons_per_layer_decoder': [2560, 1280, 640, 320, 160]}",160,"[2560, 1280, 640, 320, 160]","[160, 320, 640, 1280, 2560]",[0.5721785485488575],[0.6784205625355941],[0.22737737178099993],0.2407058007809846,COMPLETE
