number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,user_attrs_relative_deterioration,user_attrs_test_r2,state
73,0.00881737299143632,2024-10-19 11:55:26.374884,2024-10-19 11:56:30.498309,0 days 00:01:04.123425,0.013092036142481386,128,0.1,30,6.006739612779201e-05,24,0.00044676651379584764,0.9965448588212868,0.8931130732301632,COMPLETE
74,0.010637102022946928,2024-10-19 11:55:34.233513,2024-10-19 11:56:32.993360,0 days 00:00:58.759847,0.015005840817802232,128,0.1,30,1.9901800730780853e-05,24,0.0009341867929141312,0.9958518234898074,0.8710537542106628,COMPLETE
75,0.007511239441197619,2024-10-19 11:55:36.416409,2024-10-19 11:56:33.063404,0 days 00:00:56.646995,0.04702580578031211,128,0.1,30,6.303768737340938e-05,24,0.0009366514276633112,0.9971968558980264,0.9089464287286301,COMPLETE
76,0.008108378259192021,2024-10-19 11:55:37.388241,2024-10-19 11:56:33.494199,0 days 00:00:56.105958,0.04679116174915165,128,0.1,30,5.24364260013994e-05,24,0.0005504780667419506,0.9969062890713172,0.901707727000532,COMPLETE
77,0.00951832558713321,2024-10-19 11:56:12.299733,2024-10-19 11:57:13.652678,0 days 00:01:01.352945,0.050688965903356475,128,0.1,30,2.060606694288379e-05,16,0.0005544228455070405,0.9961428545813957,0.8846159087302439,COMPLETE
78,0.008916290987727357,2024-10-19 11:56:26.693646,2024-10-19 11:57:22.748537,0 days 00:00:56.054891,0.020582790832246983,128,0.1,30,2.1293810813661702e-05,24,0.00092650458891473,0.9964333478880709,0.8919139586371833,COMPLETE
79,0.017924369303462,2024-10-19 11:56:30.805566,2024-10-19 11:57:27.180049,0 days 00:00:56.374483,0.020541413884684077,128,0.1,30,2.1141639960935925e-05,88,0.0007754444810836811,0.9957879487633549,0.7827152428511972,COMPLETE
80,0.007824936008924631,2024-10-19 11:56:33.004556,2024-10-19 11:58:14.133546,0 days 00:01:41.128990,0.02022927091692396,128,0.1,30,2.0865080333380563e-05,16,0.0007699888454286737,0.9965826995269451,0.9051437017605011,COMPLETE
81,0.02145340589802318,2024-10-19 11:56:33.074631,2024-10-19 11:57:25.182490,0 days 00:00:52.107859,0.04659544733664139,128,0.1,30,4.845276831733944e-05,80,0.0005543257001917769,0.9951913293022406,0.7399351680582527,COMPLETE
82,0.008265996670697115,2024-10-19 11:56:33.505438,2024-10-19 11:57:28.134357,0 days 00:00:54.628919,0.019997600965296753,128,0.1,30,8.352202043975211e-05,16,0.0009182439891063292,0.9968015625063523,0.899797027790633,COMPLETE
83,0.007859647174718985,2024-10-19 11:56:37.099298,2024-10-19 11:58:23.032704,0 days 00:01:45.933406,0.020536833612920264,128,0.1,30,2.0597004504078662e-05,16,0.0009754954642945874,0.9966823783818655,0.9047229222562247,COMPLETE
84,0.022703236362099487,2024-10-19 11:57:13.721109,2024-10-19 11:58:14.203243,0 days 00:01:00.482134,0.020448401446918157,128,0.1,10,7.476704309561049e-05,88,0.0007724000979561532,0.9949801542551958,0.7247843360113174,COMPLETE
85,0.014403908354304794,2024-10-19 11:57:22.776398,2024-10-19 11:58:14.250890,0 days 00:00:51.474492,0.031961527315289194,128,0.1,10,7.770750885488197e-05,64,0.0007736543315923035,0.9962460220296091,0.8253913610140675,COMPLETE
86,0.010469889818883497,2024-10-19 11:57:25.206619,2024-10-19 11:58:26.014005,0 days 00:01:00.807386,0.0329352943194597,128,0.1,30,8.520963066808568e-05,16,0.0007653225338719545,0.995793102973708,0.8730807523458342,COMPLETE
87,0.010495524306587171,2024-10-19 11:57:27.200003,2024-10-19 11:58:19.730007,0 days 00:00:52.530004,0.028076404728555108,128,0.1,30,8.925458645500824e-05,16,0.0006454041078847767,0.9959531693667911,0.8727700031450658,COMPLETE
88,0.012540649247891512,2024-10-19 11:57:28.153220,2024-10-19 11:58:22.218588,0 days 00:00:54.065368,0.03300923903109399,128,0.1,30,2.6699440834824956e-05,8,0.000646131445337902,0.9949101326099469,0.8479783650858987,COMPLETE
89,0.008950142365024137,2024-10-19 11:58:14.157428,2024-10-19 11:59:06.521418,0 days 00:00:52.363990,0.027823531214626565,128,0.1,30,2.6749577091352672e-05,16,0.0006348237762184812,0.9964833093274574,0.8915036017554121,COMPLETE
90,0.0071244983751432974,2024-10-19 11:58:14.220276,2024-10-19 11:59:05.086454,0 days 00:00:50.866178,0.031433615423244576,128,0.1,30,3.6142088195481036e-05,16,0.0006378539954127714,0.9972297323475054,0.9136346237325598,COMPLETE
91,0.00862492003989618,2024-10-19 11:58:14.266978,2024-10-19 11:59:09.640682,0 days 00:00:55.373704,0.027102092743572052,128,0.1,30,1.4389713573474127e-05,16,0.0009981747988146554,0.9965994446180637,0.8954460475251022,COMPLETE
92,0.009353975027836275,2024-10-19 11:58:19.745411,2024-10-19 11:59:11.848098,0 days 00:00:52.102687,0.042810731214287336,128,0.1,30,2.7385582698728783e-05,24,0.0008810211792361956,0.9963934078304358,0.8866082171211007,COMPLETE
93,0.009703749390909,2024-10-19 11:58:22.230055,2024-10-19 11:59:16.403725,0 days 00:00:54.173670,0.04247612601695991,128,0.1,30,1.4612245162557078e-05,16,0.000997865818214059,0.9962211001200612,0.8823681439419314,COMPLETE
94,0.010993944565008644,2024-10-19 11:58:23.115206,2024-10-19 11:59:17.614635,0 days 00:00:54.499429,0.04213004391428484,128,0.1,30,1.4609962339417471e-05,16,0.000999964424548797,0.9957618479966691,0.8667279983762712,COMPLETE
95,0.011065648149892318,2024-10-19 11:58:26.034017,2024-10-19 11:59:20.425802,0 days 00:00:54.391785,0.0361857654293942,128,0.1,30,0.00011917159624815343,32,0.0009984785676541686,0.9957196443648864,0.8658587853086104,COMPLETE
96,0.012275926807878318,2024-10-19 11:59:05.114010,2024-10-19 12:00:50.751819,0 days 00:01:45.637809,0.2863102503728921,128,0.1,30,1.5060144998642626e-05,24,0.0007151648766945745,0.9953334198348591,0.8511874125071096,COMPLETE
97,0.011372052916592018,2024-10-19 11:59:06.538438,2024-10-19 11:59:59.719710,0 days 00:00:53.181272,0.03492553113552142,128,0.1,30,1.1087992416665435e-05,24,0.0009958178565274837,0.9956311619164224,0.862144451811324,COMPLETE
98,0.00791700533416241,2024-10-19 11:59:09.659808,2024-10-19 12:00:35.783000,0 days 00:01:26.123192,0.04212641438685598,128,0.1,30,1.139611485701573e-05,24,0.0007098154129367467,0.9966325390369924,0.9040276088795494,COMPLETE
99,0.009129233722545033,2024-10-19 11:59:11.864216,2024-10-19 12:00:09.328042,0 days 00:00:57.463826,0.21895723312704177,128,0.1,30,0.00012069621151788116,24,0.0007137195344318534,0.9966957897057263,0.8893326008422106,COMPLETE
100,0.009510892049014081,2024-10-19 11:59:16.417425,2024-10-19 12:00:13.283178,0 days 00:00:56.865753,0.03548831922137666,128,0.1,30,1.1643643721976006e-05,24,0.0008787987286446127,0.996357786523141,0.8847060203820195,COMPLETE
101,0.007966648465588363,2024-10-19 11:59:17.625625,2024-10-19 12:00:14.137098,0 days 00:00:56.511473,0.02971801883499983,128,0.1,30,0.00011578268515380908,24,0.0007082024258149223,0.9968250629579327,0.9034258194623948,COMPLETE
102,0.01397259618375497,2024-10-19 11:59:20.445733,2024-10-19 12:00:17.458258,0 days 00:00:57.012525,0.016021908943845812,128,0.1,30,1.1396599983202116e-05,24,0.0007020869385669264,0.994576814666969,0.8306198607535333,COMPLETE
103,0.010568098061905654,2024-10-19 11:59:59.730716,2024-10-19 12:01:44.283328,0 days 00:01:44.552612,0.21494115666368813,96,0.1,30,1.8983820233011036e-05,24,0.0007160285405250237,0.9953040965562268,0.8718902416018406,COMPLETE
104,0.008501671007477965,2024-10-19 12:00:09.341124,2024-10-19 12:01:05.080682,0 days 00:00:55.739558,0.030844324155166414,128,0.1,30,1.9001468177670016e-05,8,0.0004118864946825974,0.9965428786050373,0.8969401104750685,COMPLETE
105,0.010694075439528281,2024-10-19 12:00:13.295859,2024-10-19 12:01:57.895398,0 days 00:01:44.599539,0.016516737219754045,96,0.1,30,1.974940516596655e-05,8,0.0007092432204510404,0.994979159206932,0.8703631048061438,COMPLETE
106,0.009471571133063598,2024-10-19 12:00:14.147960,2024-10-19 12:01:12.034148,0 days 00:00:57.886188,0.016171189847315526,96,0.1,30,1.9265431765169786e-05,8,0.0009181101043923549,0.9958223332644155,0.8851826807056561,COMPLETE
107,0.009167269590457945,2024-10-19 12:00:17.468448,2024-10-19 12:01:15.061136,0 days 00:00:57.592688,0.030116642058018575,128,0.1,30,1.9328124365040742e-05,32,0.0007915566902784643,0.9963843180261626,0.8888715182689563,COMPLETE
108,0.006976520524196322,2024-10-19 12:00:35.797318,2024-10-19 12:01:53.862727,0 days 00:01:18.065409,0.061109019983123465,128,0.1,30,1.8900469655003868e-05,8,0.00041236651428039816,0.997062414460869,0.915428457081006,COMPLETE
109,0.008053372921006116,2024-10-19 12:00:50.773040,2024-10-19 12:01:50.856869,0 days 00:01:00.083829,0.030333351310542937,128,0.1,30,1.8539982269617624e-05,8,0.00041081689594762923,0.9967992101044634,0.9023745187490877,COMPLETE
110,0.008776400407832459,2024-10-19 12:01:05.181772,2024-10-19 12:02:16.180927,0 days 00:01:10.999155,0.06125793040962719,128,0.1,30,2.3581116550547408e-05,8,0.0004705506446930888,0.9963615196543189,0.893609755580733,COMPLETE
111,0.0100540600078384,2024-10-19 12:01:12.045239,2024-10-19 12:02:06.000724,0 days 00:00:53.955485,0.022031859442275356,128,0.1,30,3.7413094600937804e-05,32,0.0005812079226637049,0.9962117258055992,0.8781215701273956,COMPLETE
