number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,user_attrs_relative_deterioration,user_attrs_test_r2,state
50,0.011942478600297806,2024-10-16 10:15:14.970294,2024-10-16 10:15:15.615335,0 days 00:00:00.645041,0.997063432437562,0.030034124239559735,10,50,0.7290452806123648,0.8757359628686728,0.8552295749720306,COMPLETE
51,0.01755892040220833,2024-10-16 10:15:15.048364,2024-10-16 10:15:15.600702,0 days 00:00:00.552338,0.8319982851715435,0.02558562226050746,8,50,0.737789203744356,0.8602182663646264,0.7871453276377155,COMPLETE
52,0.014717712841091619,2024-10-16 10:15:15.307978,2024-10-16 10:15:15.756707,0 days 00:00:00.448729,0.8315825076968127,0.029425986338546272,8,50,0.7376095430911873,0.8704487089750579,0.8215873258176652,COMPLETE
53,0.08093852680378809,2024-10-16 10:15:15.434710,2024-10-16 10:15:16.064201,0 days 00:00:00.629491,0.8279415500034335,0.000248606821715582,10,50,0.7256594482403795,0.7170218666547852,0.018838105665108573,COMPLETE
54,0.06321296772515554,2024-10-16 10:15:15.625901,2024-10-16 10:15:16.079522,0 days 00:00:00.453621,0.8741436323023595,0.004051905933468758,7,50,0.7988829323003663,0.7488410990776313,0.2337128236828595,COMPLETE
55,0.008470874963727146,2024-10-16 10:15:15.635191,2024-10-16 10:15:16.087746,0 days 00:00:00.452555,0.9173463961969419,0.05328931663578538,7,50,0.7995269822917257,0.8977367424857517,0.8973134296571414,COMPLETE
56,0.010028875144386431,2024-10-16 10:15:15.763938,2024-10-16 10:15:16.107220,0 days 00:00:00.343282,0.8763016098742722,0.0591054221592993,6,50,0.934964051139249,0.8925753279118841,0.8784268688437041,COMPLETE
57,0.02368306869751352,2024-10-16 10:15:16.070327,2024-10-16 10:15:16.271759,0 days 00:00:00.201432,0.7733083299287685,0.06085760789845681,4,50,0.9293008112777503,0.8428021509899162,0.7129065049176531,COMPLETE
58,0.021783381182437667,2024-10-16 10:15:16.089556,2024-10-16 10:15:16.276658,0 days 00:00:00.187102,0.9179467385760535,0.05164796372940506,4,50,0.8481925063838307,0.8510032619197198,0.7359351054437617,COMPLETE
59,0.005738086654918038,2024-10-16 10:15:16.282446,2024-10-16 10:15:16.454113,0 days 00:00:00.171667,0.9186889958743849,0.07819610590645114,7,50,0.7561047659597647,0.9132760940256012,0.9304411360754635,COMPLETE
