number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
45,-0.7217794146913452,-0.4986181689407865,2024-12-23 11:16:43.938428,2024-12-23 11:16:49.407267,0 days 00:00:05.468839,0.03285298370822985,40.0,0.2,176,100.0,4.512825005141665e-06,264.0,0.0059283202532652785,1,1,adadelta,"{'neurons_per_layer_encoder': [176], 'neurons_per_layer_decoder': [176]}",176.0,[176],[176],[-0.7217794146913452],[-0.4986181689407865],0.14765589654812175,COMPLETE
46,-1.0482007317816562,-0.11718670410798526,2024-12-23 11:16:47.164319,2024-12-23 11:16:51.119939,0 days 00:00:03.955620,0.07013916694139746,120.0,0.2,176,100.0,6.971180478620157e-05,248.0,1.0894624602743529e-05,1,1,adadelta,"{'neurons_per_layer_encoder': [176], 'neurons_per_layer_decoder': [176]}",176.0,[176],[176],[-1.0482007317816562],[-0.11718670410798526],0.35810009742126014,COMPLETE
47,0.05163332162842671,-0.03501552236775818,2024-12-23 11:16:49.028937,2024-12-23 11:16:56.258125,0 days 00:00:07.229188,0.05125259734516239,120.0,0.1,88,100.0,3.7772059785973246e-06,96.0,0.006133708044940158,1,1,adadelta,"{'neurons_per_layer_encoder': [88], 'neurons_per_layer_decoder': [88]}",88.0,[88],[88],[0.05163332162842671],[-0.03501552236775818],0.007169662822149565,COMPLETE
48,-0.282769067709179,-0.07210877692761763,2024-12-23 11:16:49.415047,2024-12-23 11:17:00.463767,0 days 00:00:11.048720,0.024830796802885004,120.0,0.1,208,100.0,1.0810437271264155e-05,1384.0,0.006525866631834774,1,3,adadelta,"{'neurons_per_layer_encoder': [208, 416, 832], 'neurons_per_layer_decoder': [832]}",208.0,[832],"[208, 416, 832]",[-0.282769067709179],[-0.07210877692761763],0.16408955384014856,COMPLETE
49,-0.11621346508192953,-0.44845218852939595,2024-12-23 11:16:51.127937,2024-12-23 11:16:57.259783,0 days 00:00:06.131846,0.025749155461225224,128.0,0.1,208,100.0,4.174706910261308e-05,1416.0,8.032535508392487e-05,2,3,sgd,"{'neurons_per_layer_encoder': [208, 416, 832], 'neurons_per_layer_decoder': [832, 416]}",208.0,"[832, 416]","[208, 416, 832]",[-0.11621346508192953],[-0.44845218852939595],0.6784006682812777,COMPLETE
50,-0.16527628577871578,-0.3530871231664716,2024-12-23 11:16:51.322078,2024-12-23 11:16:59.789364,0 days 00:00:08.467286,0.03084738329880337,80.0,0.1,208,100.0,3.4733829321448316e-06,1448.0,2.2441848934402126e-05,1,3,sgd,"{'neurons_per_layer_encoder': [208, 416, 832], 'neurons_per_layer_decoder': [832]}",208.0,[832],"[208, 416, 832]",[-0.16527628577871578],[-0.3530871231664716],0.10782337263509471,COMPLETE
51,-0.7045561810935081,-0.05638201730693848,2024-12-23 11:16:53.545757,2024-12-23 11:16:59.625844,0 days 00:00:06.080087,0.026134536863010403,80.0,0.1,208,100.0,4.7749055862269325e-05,1464.0,1.9592997183560122e-05,1,3,sgd,"{'neurons_per_layer_encoder': [208, 416, 832], 'neurons_per_layer_decoder': [832]}",208.0,[832],"[208, 416, 832]",[-0.7045561810935081],[-0.05638201730693848],0.6956831728758505,COMPLETE
52,-1.0170580046204467,-0.13705826662036213,2024-12-23 11:16:56.267522,2024-12-23 11:16:59.734539,0 days 00:00:03.467017,0.03324762116815615,80.0,0.1,208,100.0,1.00074505220323e-06,1432.0,2.3947856307762616e-05,1,3,sgd,"{'neurons_per_layer_encoder': [208, 416, 832], 'neurons_per_layer_decoder': [832]}",208.0,[832],"[208, 416, 832]",[-1.0170580046204467],[-0.13705826662036213],0.24032305376435742,COMPLETE
53,0.009806237182330313,0.08467458937730954,2024-12-23 11:16:57.267706,2024-12-23 11:17:02.203750,0 days 00:00:04.936044,0.03026406826594382,80.0,0.1,88,100.0,0.0005403379315366144,552.0,2.2335188310512622e-05,1,3,sgd,"{'neurons_per_layer_encoder': [88, 176, 352], 'neurons_per_layer_decoder': [352]}",88.0,[352],"[88, 176, 352]",[0.009806237182330313],[0.08467458937730954],0.9168836852190664,COMPLETE
54,-0.14553096341319494,-0.3825975556519141,2024-12-23 11:16:59.315188,2024-12-23 11:17:05.805084,0 days 00:00:06.489896,0.03759783104076786,32.0,0.1,152,100.0,0.000542345575974752,808.0,2.270341779892439e-05,1,3,sgd,"{'neurons_per_layer_encoder': [152, 304, 608], 'neurons_per_layer_decoder': [608]}",152.0,[608],"[152, 304, 608]",[-0.14553096341319494],[-0.3825975556519141],0.9313344330545883,COMPLETE
