number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
34,0.10104088374312659,2025-01-10 09:30:46.549528,2025-01-10 09:30:52.080746,0 days 00:00:05.531218,0.014541807636952394,56,0.30000000000000004,64,100,0.00012471913232083395,312,0.00474726153932138,5,3,adam,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32, 16]}",64,"[256, 128, 64, 32, 16]","[64, 128, 256]",[0.10104088374312659],0.5796296766431565,COMPLETE
35,-0.08370356478977481,2025-01-10 09:30:46.681367,2025-01-10 09:30:52.042745,0 days 00:00:05.361378,0.013906559251921252,40,0.30000000000000004,60,100,0.00013380271606219582,312,0.0002001729783488964,5,3,adam,"{'neurons_per_layer_encoder': [60, 120, 240], 'neurons_per_layer_decoder': [240, 120, 60, 30, 15]}",60,"[240, 120, 60, 30, 15]","[60, 120, 240]",[-0.08370356478977481],0.8250771023433369,COMPLETE
36,-0.10919775217103256,2025-01-10 09:30:50.897221,2025-01-10 09:30:55.042071,0 days 00:00:04.144850,0.013817251360950033,40,0.30000000000000004,56,100,0.00013427246935230548,296,0.00012514989831793885,5,3,adam,"{'neurons_per_layer_encoder': [56, 112, 224], 'neurons_per_layer_decoder': [224, 112, 56, 28, 14]}",56,"[224, 112, 56, 28, 14]","[56, 112, 224]",[-0.10919775217103256],0.8222714189697161,COMPLETE
37,0.1257736353518547,2025-01-10 09:30:51.263459,2025-01-10 09:30:57.274659,0 days 00:00:06.011200,0.02720135921387385,40,0.30000000000000004,64,100,0.00013709186352866488,408,0.004626652470423094,5,3,adam,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32, 16]}",64,"[256, 128, 64, 32, 16]","[64, 128, 256]",[0.1257736353518547],0.5037639111828975,COMPLETE
38,-0.11514821080237447,2025-01-10 09:30:51.713339,2025-01-10 09:30:57.533861,0 days 00:00:05.820522,0.014012292946570498,40,0.4,64,100,0.0007227474877038766,408,0.00011650924451733451,5,3,adam,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32, 16]}",64,"[256, 128, 64, 32, 16]","[64, 128, 256]",[-0.11514821080237447],0.9553166728590878,COMPLETE
39,-0.7223393390542594,2025-01-10 09:30:52.051125,2025-01-10 09:30:55.581024,0 days 00:00:03.529899,0.02551723860142444,40,0.4,72,100,0.000956883336743181,408,8.505611172535846e-05,5,3,adam,"{'neurons_per_layer_encoder': [72, 144, 288], 'neurons_per_layer_decoder': [288, 144, 72, 36, 18]}",72,"[288, 144, 72, 36, 18]","[72, 144, 288]",[-0.7223393390542594],0.9538179973747903,COMPLETE
40,-0.8601961248032495,2025-01-10 09:30:52.104020,2025-01-10 09:30:55.131660,0 days 00:00:03.027640,0.03474959449241592,40,0.4,80,100,0.0009754954472716721,424,0.0008140915995878336,3,3,adadelta,"{'neurons_per_layer_encoder': [80, 160, 320], 'neurons_per_layer_decoder': [320, 160, 80]}",80,"[320, 160, 80]","[80, 160, 320]",[-0.8601961248032495],0.9517701324580675,COMPLETE
41,-0.4463556353702516,2025-01-10 09:30:55.050650,2025-01-10 09:30:57.079711,0 days 00:00:02.029061,0.02585278976227766,32,0.2,88,100,0.0006738031149051874,144,0.0007502488868263115,3,1,adadelta,"{'neurons_per_layer_encoder': [88], 'neurons_per_layer_decoder': [88, 44, 22]}",88,"[88, 44, 22]",[88],[-0.4463556353702516],0.8158760374385279,COMPLETE
42,-0.30614555320720394,2025-01-10 09:30:55.142285,2025-01-10 09:30:58.153378,0 days 00:00:03.011093,0.025017962921668784,32,0.2,156,100,2.368567156747153e-05,212,0.0012436395240117929,3,1,adam,"{'neurons_per_layer_encoder': [156], 'neurons_per_layer_decoder': [156, 78, 39]}",156,"[156, 78, 39]",[156],[-0.30614555320720394],-0.2610572876801856,COMPLETE
43,0.045093069131569075,2025-01-10 09:30:55.588897,2025-01-10 09:30:58.375418,0 days 00:00:02.786521,0.05821578956000525,72,0.2,124,100,0.0006540636038852646,180,0.0010977938572937838,1,1,adam,"{'neurons_per_layer_encoder': [124], 'neurons_per_layer_decoder': [124]}",124,[124],[124],[0.045093069131569075],0.4990406735253469,COMPLETE
44,0.03401350831678507,2025-01-10 09:30:57.087271,2025-01-10 09:31:04.548539,0 days 00:00:07.461268,0.06535113665219053,72,0.2,124,100,0.000401985247650313,1032,0.0012519848358168086,1,4,adam,"{'neurons_per_layer_encoder': [124, 248, 496, 992], 'neurons_per_layer_decoder': [992]}",124,[992],"[124, 248, 496, 992]",[0.03401350831678507],0.8774692353099229,COMPLETE
45,0.041304269650599745,2025-01-10 09:30:57.283836,2025-01-10 09:31:01.514146,0 days 00:00:04.230310,0.021307932817941765,72,0.2,120,100,0.0003708715357299343,360,0.0014239248584821717,1,2,adam,"{'neurons_per_layer_encoder': [120, 240], 'neurons_per_layer_decoder': [240]}",120,[240],"[120, 240]",[0.041304269650599745],0.6628879724808558,COMPLETE
46,0.102500381997227,2025-01-10 09:30:57.542515,2025-01-10 09:31:02.000916,0 days 00:00:04.458401,0.050392425236658725,72,0.2,124,100,0.0003636167990813215,368,0.0013613203286193065,1,2,adam,"{'neurons_per_layer_encoder': [124, 248], 'neurons_per_layer_decoder': [248]}",124,[248],"[124, 248]",[0.102500381997227],0.6909772298053686,COMPLETE
47,0.056942368088379824,2025-01-10 09:30:58.161291,2025-01-10 09:31:09.864681,0 days 00:00:11.703390,0.0200894743815258,72,0.2,120,100,0.0003608517502884769,2152,0.0014912949401545887,1,5,adam,"{'neurons_per_layer_encoder': [120, 240, 480, 960, 1920], 'neurons_per_layer_decoder': [1920]}",120,[1920],"[120, 240, 480, 960, 1920]",[0.056942368088379824],0.9034561497221242,COMPLETE
48,0.1012550030777043,2025-01-10 09:30:58.383861,2025-01-10 09:31:07.790242,0 days 00:00:09.406381,0.020297929709058925,56,0.30000000000000004,24,100,0.0003635211873564196,488,0.0033840191059178897,4,5,adam,"{'neurons_per_layer_encoder': [24, 48, 96, 192, 384], 'neurons_per_layer_decoder': [384, 192, 96, 48]}",24,"[384, 192, 96, 48]","[24, 48, 96, 192, 384]",[0.1012550030777043],0.6930286920570919,COMPLETE
49,-0.05583564487410597,2025-01-10 09:31:01.524786,2025-01-10 09:31:09.079369,0 days 00:00:07.554583,0.01974386861289329,56,0.30000000000000004,24,100,0.0003363547651183072,456,1.1658974242733366e-05,4,5,adam,"{'neurons_per_layer_encoder': [24, 48, 96, 192, 384], 'neurons_per_layer_decoder': [384, 192, 96, 48]}",24,"[384, 192, 96, 48]","[24, 48, 96, 192, 384]",[-0.05583564487410597],0.9451577627724058,COMPLETE
50,0.2310833900064575,2025-01-10 09:31:02.010878,2025-01-10 09:31:11.579745,0 days 00:00:09.568867,0.01954297342446174,56,0.30000000000000004,24,100,0.0003572610888015999,504,0.0017819829926667445,4,5,adam,"{'neurons_per_layer_encoder': [24, 48, 96, 192, 384], 'neurons_per_layer_decoder': [384, 192, 96, 48]}",24,"[384, 192, 96, 48]","[24, 48, 96, 192, 384]",[0.2310833900064575],0.9221864398915057,COMPLETE
51,0.026900439638860796,2025-01-10 09:31:04.558163,2025-01-10 09:31:12.449557,0 days 00:00:07.891394,0.01856461693185038,56,0.30000000000000004,48,100,0.00019025023905509938,792,0.0038792994074411326,4,5,sgd,"{'neurons_per_layer_encoder': [48, 96, 192, 384, 768], 'neurons_per_layer_decoder': [768, 384, 192, 96]}",48,"[768, 384, 192, 96]","[48, 96, 192, 384, 768]",[0.026900439638860796],0.9513106255220467,COMPLETE
52,-0.4347142154232768,2025-01-10 09:31:07.801096,2025-01-10 09:31:10.421479,0 days 00:00:02.620383,0.019065114056452698,48,0.30000000000000004,48,100,0.00019207253496569072,472,0.00030391001452868577,4,4,sgd,"{'neurons_per_layer_encoder': [48, 96, 192, 384], 'neurons_per_layer_decoder': [384, 192, 96, 48]}",48,"[384, 192, 96, 48]","[48, 96, 192, 384]",[-0.4347142154232768],0.8756867582040947,COMPLETE
