number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
52,-0.5496263366202079,2025-01-12 21:12:59.483434,2025-01-12 21:13:01.057094,0 days 00:00:01.573660,0.14091925484449822,40,0.2,108,120,2.110532021182198e-06,156,1.687732557425207e-05,2,1,adam,"{'neurons_per_layer_encoder': [108], 'neurons_per_layer_decoder': [108, 54]}",108,,"[108, 54]",[108],[-0.5496263366202079],0.45517488428301106,COMPLETE
53,-0.45004477190605185,2025-01-12 21:12:59.544343,2025-01-12 21:13:00.612907,0 days 00:00:01.068564,0.1061144338013165,40,0.1,128,120,3.914503267585691e-05,208,1.5830318299838963e-05,2,1,sgd,"{'neurons_per_layer_encoder': [128], 'neurons_per_layer_decoder': [128, 64]}",128,,"[128, 64]",[128],[-0.45004477190605185],0.3620882968812107,COMPLETE
54,-0.7108677790320101,2025-01-12 21:13:00.620358,2025-01-12 21:13:01.877933,0 days 00:00:01.257575,0.04569668903990787,72,0.30000000000000004,96,180,6.7183060276755525e-06,169,4.532733634666016e-05,1,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96]}",96,,[96],[96],[-0.7108677790320101],0.08091626233175273,COMPLETE
55,0.6074024927240005,2025-01-12 21:13:00.648982,2025-01-12 21:13:06.701627,0 days 00:00:06.052645,0.020460525532456315,40,0.30000000000000004,184,120,0.00022614255685652235,548,3.6278465968595646e-05,2,2,adam,"{'neurons_per_layer_encoder': [184, 368], 'neurons_per_layer_decoder': [368, 184]}",184,,"[368, 184]","[184, 368]",[0.6074024927240005],0.9262553071973613,COMPLETE
56,0.5963111368813885,2025-01-12 21:13:01.066680,2025-01-12 21:13:07.284457,0 days 00:00:06.217777,0.04634252716403557,40,0.30000000000000004,168,120,0.00037566847155095015,548,4.438595403180968e-05,2,2,adam,"{'neurons_per_layer_encoder': [168, 336], 'neurons_per_layer_decoder': [336, 168]}",168,,"[336, 168]","[168, 336]",[0.5963111368813885],0.9481524970409313,COMPLETE
57,0.260448141135881,2025-01-12 21:13:01.067722,2025-01-12 21:13:06.567348,0 days 00:00:05.499626,0.04608180614537313,72,0.30000000000000004,168,120,0.00035935324621265945,545,3.7910765898505493e-05,2,2,adam,"{'neurons_per_layer_encoder': [168, 336], 'neurons_per_layer_decoder': [336, 168]}",168,,"[336, 168]","[168, 336]",[0.260448141135881],0.9077127949040112,COMPLETE
58,0.1585631536108506,2025-01-12 21:13:01.791621,2025-01-12 21:13:07.602759,0 days 00:00:05.811138,0.046194741277117014,72,0.30000000000000004,240,160,1.4407504457309522e-05,692,0.0003266011973558857,2,2,adam,"{'neurons_per_layer_encoder': [240, 480], 'neurons_per_layer_decoder': [480, 240]}",240,,"[480, 240]","[240, 480]",[0.1585631536108506],-0.28850773176854,COMPLETE
59,0.13577137009072393,2025-01-12 21:13:01.885800,2025-01-12 21:13:07.001377,0 days 00:00:05.115577,0.020533410979479645,112,0.2,240,160,1.4492638054870154e-05,546,0.0003069501477861545,2,2,adam,"{'neurons_per_layer_encoder': [240, 480], 'neurons_per_layer_decoder': [480, 240]}",240,,"[480, 240]","[240, 480]",[0.13577137009072393],-0.3083486673164443,COMPLETE
60,0.7338484671314054,2025-01-12 21:13:06.575136,2025-01-12 21:13:13.021447,0 days 00:00:06.446311,0.03294756574689142,40,0.2,184,160,1.2337937193847748e-05,511,0.0006409368489758397,2,2,adam,"{'neurons_per_layer_encoder': [184, 368], 'neurons_per_layer_decoder': [368, 184]}",184,,"[368, 184]","[184, 368]",[0.7338484671314054],0.4058036624720874,COMPLETE
61,0.16663072918045507,2025-01-12 21:13:06.710057,2025-01-12 21:13:10.848649,0 days 00:00:04.138592,0.03605622407941931,32,0.2,240,140,1.4181431747980089e-05,668,0.00029174446536602954,2,2,adam,"{'neurons_per_layer_encoder': [240, 480], 'neurons_per_layer_decoder': [480, 240]}",240,,"[480, 240]","[240, 480]",[0.16663072918045507],-0.33078542954476237,COMPLETE
