IDENTIFIER: Reference ID,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: year
23,55.61538461538461,,7.3,505.0,25.0,1039.7575757575758,1828.918918918919,3.7272727272727275,2.4283783783783783,82.17021276595746,191.5,,,,2007
23,57.23076923076923,,7.1,736.0,25.0,1038.6363636363637,1819.3783783783783,4.090909090909091,2.5875675675675676,80.85106382978724,190.66666666666666,,,,2007
23,58.84615384615385,,7.6,300.0,25.0,1037.5151515151515,1809.837837837838,4.454545454545455,2.746756756756757,79.53191489361703,189.83333333333334,,,,2007
24,60.46153846153846,,7.6,225.0,25.0,1036.3939393939395,1800.2972972972973,4.818181818181818,2.905945945945946,78.21276595744682,189.0,,,,2006
24,62.07692307692308,,7.0,636.0,25.0,1035.2727272727273,1790.7567567567567,5.181818181818182,3.0651351351351352,76.8936170212766,187.0,,,,2006
24,63.69230769230769,,7.5,272.0,25.0,1034.1515151515152,1781.2162162162163,5.545454545454546,3.2243243243243245,75.57446808510639,185.0,,,,2006
24,65.3076923076923,,7.3,321.0,25.0,1033.030303030303,1771.6756756756756,5.909090909090909,3.3835135135135133,74.25531914893618,182.0,,,,2006
24,66.92307692307692,,7.2,458.0,25.0,1031.909090909091,1762.1351351351352,6.2727272727272725,3.5427027027027025,72.93617021276596,182.875,,,,2006
24,68.53846153846153,,7.1,590.0,25.0,1030.7878787878788,1752.5945945945946,6.636363636363637,3.7018918918918917,71.61702127659575,183.75,,,,2006
24,70.15384615384616,,6.9,646.0,25.0,1029.6666666666667,1743.054054054054,7.0,3.861081081081081,70.29787234042554,184.625,,,,2006
24,71.76923076923077,,6.8,664.0,25.0,1028.5454545454545,1733.5135135135135,7.363636363636363,4.02027027027027,68.97872340425532,185.5,,,,2006
24,73.38461538461539,,6.7,657.0,25.0,1027.4242424242425,1723.972972972973,7.7272727272727275,4.179459459459459,67.65957446808511,186.375,,,,2006
24,75.0,,6.6,667.0,25.0,1026.3030303030303,1714.4324324324325,8.090909090909092,4.338648648648649,66.3404255319149,187.25,,,,2006
24,76.61538461538461,,6.5,696.0,25.0,1025.1818181818182,1704.8918918918919,8.454545454545455,4.497837837837838,65.0212765957447,188.125,,,,2006
25,78.23076923076923,,7.6,215.0,25.0,1024.060606060606,1695.3513513513512,8.818181818181818,4.657027027027027,63.70212765957447,189.0,,,,2006
25,79.84615384615385,,7.6,204.0,25.0,1022.939393939394,1685.8108108108108,9.181818181818182,4.816216216216216,62.382978723404264,186.0,,,,2006
25,81.46153846153847,,7.5,231.0,25.0,1021.8181818181819,1676.2702702702702,9.545454545454545,4.9754054054054055,61.06382978723405,184.2,,,,2006
25,83.07692307692308,,7.5,328.0,25.0,1020.6969696969697,1666.7297297297298,9.90909090909091,5.134594594594595,59.74468085106383,182.4,,,,2006
25,84.6923076923077,,7.4,447.0,25.0,1019.5757575757576,1657.1891891891892,10.272727272727273,5.293783783783784,58.425531914893625,180.6,,,,2006
25,86.3076923076923,,7.4,639.0,25.0,1018.4545454545455,1647.6486486486488,10.636363636363637,5.452972972972973,57.10638297872341,178.8,,,,2006
25,87.92307692307692,,7.3,579.0,25.0,1017.3333333333334,1638.1081081081081,11.0,5.6121621621621625,55.7872340425532,177.0,,,,2006
25,89.53846153846155,,7.3,577.0,25.0,1016.2121212121212,1628.5675675675675,11.363636363636363,5.771351351351352,54.468085106382986,175.0,,,,2006
25,91.15384615384616,,7.2,594.0,25.0,1015.0909090909091,1619.027027027027,11.727272727272727,5.930540540540541,53.14893617021277,174.0,,,,2006
25,92.76923076923077,,7.2,597.0,25.0,1013.969696969697,1609.4864864864865,12.090909090909092,6.08972972972973,51.82978723404256,172.0,,,,2006
25,94.38461538461539,,7.2,587.0,25.0,1012.8484848484849,1599.945945945946,12.454545454545455,6.248918918918919,50.51063829787235,171.0,,,,2006
26,96.0,,7.1,472.0,25.0,1011.7272727272727,1590.4054054054054,12.818181818181818,6.408108108108109,49.19148936170214,169.72727272727272,,,,2012
26,97.61538461538461,,7.0,578.0,25.0,1010.6060606060606,1580.8648648648648,13.181818181818182,6.567297297297298,47.872340425531924,168.45454545454547,,,,2012
26,99.23076923076923,,7.0,536.0,25.0,1009.4848484848485,1571.3243243243244,13.545454545454545,6.726486486486487,46.55319148936171,167.1818181818182,,,,2012
26,100.84615384615385,,5.9,682.0,25.0,1008.3636363636364,1561.7837837837837,13.90909090909091,6.885675675675676,45.2340425531915,165.9090909090909,,,,2012
26,102.46153846153847,,6.5,626.0,25.0,1007.2424242424242,1552.2432432432433,14.272727272727273,7.0448648648648655,43.914893617021285,164.63636363636363,,,,2012
26,104.07692307692308,,6.9,472.0,25.0,1006.1212121212121,1542.7027027027027,14.636363636363637,7.204054054054055,42.59574468085107,163.36363636363637,,,,2012
28,105.6923076923077,,7.1,456.47058823529414,25.0,1005.0,1533.162162162162,15.0,7.363243243243243,41.27659574468086,162.0909090909091,,,,2008
28,107.3076923076923,,7.1,440.94117647058823,25.0,1303.0,1523.6216216216217,24.0,7.522432432432432,39.957446808510646,160.8181818181818,,,,2008
28,108.92307692307692,,6.6,425.4117647058824,25.0,1234.0,1514.081081081081,9.0,7.6816216216216215,38.63829787234043,159.54545454545453,,,,2008
28,110.53846153846155,,6.9,409.88235294117646,25.0,1469.0,1504.5405405405406,16.0,7.840810810810811,37.31914893617022,158.27272727272728,,,,2008
