trial_id,best_loss,neurons_encoder,latent_dim,neurons_decoder
122,0.007449449866509318,"[816, 408, 204, 102, 51]",17,"[51, 102, 204, 408]"
123,0.01028056146875971,"[1040, 520, 260, 130, 65]",21,"[65, 130, 260, 520]"
124,0.009990828592582605,"[1296, 648, 324, 162, 81]",27,"[81, 162, 324, 648]"
125,0.01237789134435496,"[992, 496, 248, 124, 62]",20,"[62, 124, 248]"
126,0.01248062018099842,"[992, 496, 248, 124, 62]",20,"[62, 124, 248]"
127,0.004491384708215723,"[1488, 744, 372, 186, 93]",31,"[93, 186, 372]"
128,0.008269998840867775,"[704, 352, 176, 88, 44]",14,"[44, 88, 176]"
129,0.013507062778860686,"[1472, 736, 368, 184, 92]",30,"[92, 184, 368]"
130,0.003786446107532622,"[752, 376, 188, 94, 47]",15,"[47, 94, 188]"
131,0.012184898438982732,"[816, 408, 204, 102, 51]",17,"[51, 102, 204]"
132,0.0075901791997272,"[1536, 768, 384, 192, 96]",32,"[96, 192, 384]"
133,0.007145236111492979,"[752, 376, 188, 94, 47]",15,"[47, 94, 188]"
134,0.01291719939444063,"[768, 384, 192, 96, 48]",16,"[48, 96, 192]"
135,0.015750581085728656,"[848, 424, 212, 106, 53]",17,"[53, 106, 212]"
136,0.025158968287741605,"[704, 352, 176, 88, 44]",14,"[44, 88, 176]"
137,0.0811612723280154,"[1712, 856, 428, 214, 107]",35,"[107, 214, 428]"
138,0.011754012351780335,"[1184, 592, 296, 148, 74]",24,"[74, 148, 296]"
139,0.08156833029658868,"[640, 320, 160, 80, 40]",13,"[40, 80, 160]"
