number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
43,0.009090392183881383,2024-12-21 15:27:10.142144,2024-12-21 15:27:31.345035,0 days 00:00:21.202891,0.05224039431490286,256,0.2,1632,50,0.00017552969742351304,34,0.0005905485261084558,2,5,adam,"{'neurons_per_layer_encoder': [1632, 816, 408, 204, 102], 'neurons_per_layer_decoder': [102, 204]}",1632,"[102, 204]","[1632, 816, 408, 204, 102]",0.9980952678924231,0.8864552256636964,COMPLETE
44,0.007944436488807953,2024-12-21 15:27:18.230544,2024-12-21 15:27:36.789394,0 days 00:00:18.558850,0.04982953803657002,384,0.2,1632,50,0.0009770852794503692,34,0.0006016490521877529,2,5,adam,"{'neurons_per_layer_encoder': [1632, 816, 408, 204, 102], 'neurons_per_layer_decoder': [102, 204]}",1632,"[102, 204]","[1632, 816, 408, 204, 102]",0.9987309387151556,0.9007689404258858,COMPLETE
45,0.08245138215211192,2024-12-21 15:27:18.612036,2024-12-21 15:27:31.714701,0 days 00:00:13.102665,0.051047713487119256,896,0.2,1632,50,0.00028847908827878496,34,0.0006174481210771444,3,5,sgd,"{'neurons_per_layer_encoder': [1632, 816, 408, 204, 102], 'neurons_per_layer_decoder': [102, 204, 408]}",1632,"[102, 204, 408]","[1632, 816, 408, 204, 102]",0.9988493772641859,-0.02987015200267873,COMPLETE
46,0.08053504160343583,2024-12-21 15:27:19.283612,2024-12-21 15:27:47.022407,0 days 00:00:27.738795,0.052630243307504876,896,0.2,832,50,0.0002882664625378274,17,0.00046379285779447134,5,5,sgd,"{'neurons_per_layer_encoder': [832, 416, 208, 104, 52], 'neurons_per_layer_decoder': [52, 104, 208, 416, 832]}",832,"[52, 104, 208, 416, 832]","[832, 416, 208, 104, 52]",0.9988746331833774,-0.005933840922860423,COMPLETE
47,0.012855188773648088,2024-12-21 15:27:25.440393,2024-12-21 15:27:41.945855,0 days 00:00:16.505462,0.021408051097882415,384,0.2,848,50,0.0002960270663057339,17,0.0006197456327628334,4,5,adam,"{'neurons_per_layer_encoder': [848, 424, 212, 106, 53], 'neurons_per_layer_decoder': [53, 106, 212, 424]}",848,"[53, 106, 212, 424]","[848, 424, 212, 106, 53]",0.9984603886292897,0.8394305241370539,COMPLETE
48,0.08128159530602265,2024-12-21 15:27:27.017968,2024-12-21 15:27:34.307193,0 days 00:00:07.289225,0.02227970229029842,384,0.2,832,50,0.0002813775121103517,17,0.0006059840435981217,2,5,sgd,"{'neurons_per_layer_encoder': [832, 416, 208, 104, 52], 'neurons_per_layer_decoder': [52, 104]}",832,"[52, 104]","[832, 416, 208, 104, 52]",0.9974566795123024,-0.01525877102218609,COMPLETE
49,0.0799693769449624,2024-12-21 15:27:31.356452,2024-12-21 15:27:41.604227,0 days 00:00:10.247775,0.021574062404864622,384,0.2,848,50,0.0002860252559611943,17,0.0003791298971762141,2,5,sgd,"{'neurons_per_layer_encoder': [848, 424, 212, 106, 53], 'neurons_per_layer_decoder': [53, 106]}",848,"[53, 106]","[848, 424, 212, 106, 53]",0.9975003681633032,0.0011316700800944046,COMPLETE
50,0.015318270415536246,2024-12-21 15:27:31.731199,2024-12-21 15:27:42.157740,0 days 00:00:10.426541,0.022096493068675605,384,0.2,832,50,0.0001075508355281744,17,0.0003878988999482485,2,5,adam,"{'neurons_per_layer_encoder': [832, 416, 208, 104, 52], 'neurons_per_layer_decoder': [52, 104]}",832,"[52, 104]","[832, 416, 208, 104, 52]",0.998444815739391,0.8086650694082711,COMPLETE
51,0.007740807924768333,2024-12-21 15:27:34.318417,2024-12-21 15:27:44.820503,0 days 00:00:10.502086,0.04404020229633129,384,0.2,672,50,0.000738571640099745,14,0.0009010891608420467,2,5,adam,"{'neurons_per_layer_encoder': [672, 336, 168, 84, 42], 'neurons_per_layer_decoder': [42, 84]}",672,"[42, 84]","[672, 336, 168, 84, 42]",0.9986960660153836,0.9033123905746375,COMPLETE
52,0.01473652144384395,2024-12-21 15:27:36.816800,2024-12-21 15:27:50.971695,0 days 00:00:14.154895,0.06054521399487879,384,0.2,640,50,0.0007443425455181516,13,0.000372768769180835,5,5,adam,"{'neurons_per_layer_encoder': [640, 320, 160, 80, 40], 'neurons_per_layer_decoder': [40, 80, 160, 320, 640]}",640,"[40, 80, 160, 320, 640]","[640, 320, 160, 80, 40]",0.9983963323335899,0.8159314837031684,COMPLETE
53,0.011137173857856323,2024-12-21 15:27:41.626824,2024-12-21 15:27:52.908697,0 days 00:00:11.281873,0.06510611289738161,384,0.3,528,50,0.0007282936060014324,11,0.0008944380601068413,5,5,adam,"{'neurons_per_layer_encoder': [528, 264, 132, 66, 33], 'neurons_per_layer_decoder': [33, 66, 132, 264, 528]}",528,"[33, 66, 132, 264, 528]","[528, 264, 132, 66, 33]",0.998342941324182,0.8608896220476886,COMPLETE
54,0.03003008342961251,2024-12-21 15:27:41.967460,2024-12-21 15:27:51.495421,0 days 00:00:09.527961,0.0711852245359032,256,0.3,512,50,0.00010638876332068601,10,0.00017077903876724194,2,5,adam,"{'neurons_per_layer_encoder': [512, 256, 128, 64, 32], 'neurons_per_layer_decoder': [32, 64]}",512,"[32, 64]","[512, 256, 128, 64, 32]",0.9970575770441059,0.6249051770987688,COMPLETE
55,0.08071969491777461,2024-12-21 15:27:42.183834,2024-12-21 15:28:14.287911,0 days 00:00:32.104077,0.06777705824852388,256,0.3,640,50,0.0006738108860849022,13,0.00032278132035380816,5,5,adadelta,"{'neurons_per_layer_encoder': [640, 320, 160, 80, 40], 'neurons_per_layer_decoder': [40, 80, 160, 320, 640]}",640,"[40, 80, 160, 320, 640]","[640, 320, 160, 80, 40]",0.9961953040454256,-0.008240278146132596,COMPLETE
56,0.08057253223307427,2024-12-21 15:27:44.837965,2024-12-21 15:29:25.129555,0 days 00:01:40.291590,0.058806440761377234,256,0.3,592,50,0.0004529824656923459,49,0.0002980534294450136,5,3,adadelta,"{'neurons_per_layer_encoder': [592, 296, 148], 'neurons_per_layer_decoder': [148, 296, 592, 1184, 2368]}",592,"[148, 296, 592, 1184, 2368]","[592, 296, 148]",0.9962040683130017,-0.00640212270827889,COMPLETE
57,0.005118233188591223,2024-12-21 15:27:47.037698,2024-12-21 15:28:08.197953,0 days 00:00:21.160255,0.06916289736538425,256,0.2,624,50,0.000411731552337668,13,0.00089895421866984,2,5,adam,"{'neurons_per_layer_encoder': [624, 312, 156, 78, 39], 'neurons_per_layer_decoder': [39, 78]}",624,"[39, 78]","[624, 312, 156, 78, 39]",0.998303208369115,0.9360700153916754,COMPLETE
58,0.086275770225819,2024-12-21 15:27:50.983351,2024-12-21 15:28:12.498666,0 days 00:00:21.515315,0.04362801009315467,256,0.2,976,50,0.0004268660044865679,20,0.0009081006870478987,2,5,adadelta,"{'neurons_per_layer_encoder': [976, 488, 244, 122, 61], 'neurons_per_layer_decoder': [61, 122]}",976,"[61, 122]","[976, 488, 244, 122, 61]",0.9961277066147232,-0.0776391890276702,COMPLETE
59,0.08432377417495812,2024-12-21 15:27:51.506369,2024-12-21 15:28:09.239341,0 days 00:00:17.732972,0.04199711484485683,256,0.2,608,50,0.0004497997244573526,12,0.0008905425857082634,2,5,adadelta,"{'neurons_per_layer_encoder': [608, 304, 152, 76, 38], 'neurons_per_layer_decoder': [38, 76]}",608,"[38, 76]","[608, 304, 152, 76, 38]",0.9961157592299476,-0.05325751807035406,COMPLETE
60,0.08399667191058462,2024-12-21 15:27:52.929585,2024-12-21 15:28:35.353148,0 days 00:00:42.423563,0.042164395104536845,256,0.2,976,50,0.0004508069738930458,81,0.0009046772088856664,2,3,adadelta,"{'neurons_per_layer_encoder': [976, 488, 244], 'neurons_per_layer_decoder': [244, 488]}",976,"[244, 488]","[976, 488, 244]",0.9961519946571082,-0.04917180295026924,COMPLETE
