number,value,datetime_start,datetime_complete,duration,params_batch_size,params_conjunction_units,params_drop_out_rate,params_epochs,params_latent_dim,params_learning_rate,params_num_conjunctions,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
82,0.003340853452013755,2024-10-15 22:47:57.441094,2024-10-15 22:48:13.536313,0 days 00:00:16.095219,32,112,0.1,50,64,0.0005038495876038548,5,adam,0.5877652915318409,0.9595011395547212,COMPLETE
83,0.003844872228730506,2024-10-15 22:48:13.541869,2024-10-15 22:48:29.369382,0 days 00:00:15.827513,32,112,0.1,50,64,0.000513196141464513,5,adam,0.5402617180781196,0.9533912678128917,COMPLETE
84,0.004226910826990781,2024-10-15 22:48:29.374949,2024-10-15 22:48:45.342439,0 days 00:00:15.967490,32,112,0.1,50,64,0.0004883916095603033,5,adam,0.47920437762188056,0.9487600775802503,COMPLETE
85,0.0043612352186534736,2024-10-15 22:48:45.347863,2024-10-15 22:49:01.415738,0 days 00:00:16.067875,32,112,0.1,50,64,0.00041358008236041296,5,adam,0.5216865623190157,0.9471317556946958,COMPLETE
86,0.0039452782540604775,2024-10-15 22:49:01.421061,2024-10-15 22:49:16.929426,0 days 00:00:15.508365,32,112,0.1,50,64,0.0003581933095943423,5,adam,0.5433557879850505,0.9521741148709534,COMPLETE
87,0.00427707545579272,2024-10-15 22:49:16.934838,2024-10-15 22:49:32.252231,0 days 00:00:15.317393,32,112,0.1,50,64,0.0004353235939434652,5,adam,0.4858866518215545,0.9481519664103591,COMPLETE
88,0.003613916526980638,2024-10-15 22:49:32.257584,2024-10-15 22:49:48.101953,0 days 00:00:15.844369,32,112,0.1,50,64,0.0005117277637345306,5,adam,0.5589761832199748,0.9561909843729137,COMPLETE
89,0.0032323243927508552,2024-10-15 22:49:48.107335,2024-10-15 22:50:17.254701,0 days 00:00:29.147366,32,112,0.1,50,64,0.0005454495401001481,10,adam,0.5908844943468875,0.9608167624302759,COMPLETE
90,0.029553718662384,2024-10-15 22:50:17.260277,2024-10-15 22:50:28.535349,0 days 00:00:11.275072,32,112,0.1,50,64,0.0005558162288164781,5,sgd,0.5148454014852853,0.6417406674855861,COMPLETE
91,0.005036531100552383,2024-10-15 22:50:28.540715,2024-10-15 22:50:57.538065,0 days 00:00:28.997350,32,112,0.1,50,64,0.0005156414534699316,10,adam,0.3572197310107887,0.9389456098271449,COMPLETE
92,0.0045935331699680166,2024-10-15 22:50:57.543484,2024-10-15 22:51:25.223275,0 days 00:00:27.679791,32,112,0.1,50,64,0.0005790372817420415,10,adam,0.4320472470731691,0.9443157679696607,COMPLETE
93,0.00316592960397749,2024-10-15 22:51:25.228813,2024-10-15 22:51:54.621649,0 days 00:00:29.392836,32,112,0.1,50,64,0.000538705343688617,10,adam,0.574639302695113,0.9616216206269758,COMPLETE
94,0.0037454986986996423,2024-10-15 22:51:54.627288,2024-10-15 22:52:23.458862,0 days 00:00:28.831574,32,112,0.1,50,64,0.00046301022104483963,10,adam,0.5309451726265842,0.9545959045269772,COMPLETE
95,0.005658002174453025,2024-10-15 22:54:16.385374,2024-10-15 22:55:17.434799,0 days 00:01:01.049425,32,128,0.1,50,32,0.000499429197646409,25,adam,0.41859798836004647,0.9314119449555209,COMPLETE
96,0.003874635238847266,2024-10-15 22:55:17.441533,2024-10-15 22:55:31.759797,0 days 00:00:14.318264,32,96,0.1,50,32,0.0005471507063219981,5,adam,0.5571074719660863,0.953030471384535,COMPLETE
97,0.22660456552447597,2024-10-15 22:55:31.765298,2024-10-15 22:56:40.023477,0 days 00:01:08.258179,32,128,0.1,50,32,0.00040766088250346577,25,adadelta,0.011395830386343873,-1.7469707388413216,COMPLETE
