number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
32,0.5195720624995732,0.2361481944521331,2025-01-09 21:25:27.895672,2025-01-09 21:25:30.831859,0 days 00:00:02.936187,0.019681576125001942,80,0.4,100,100,0.00022730234488620358,140,5.8848350284240114e-05,1,1,adam,"{'neurons_per_layer_encoder': [100], 'neurons_per_layer_decoder': [100]}",100,[100],[100],[0.5195720624995732],[0.2361481944521331],0.7102090370025947,COMPLETE
33,0.030871096483843896,0.03968689459783703,2025-01-09 21:25:30.030045,2025-01-09 21:25:35.105143,0 days 00:00:05.075098,0.018722922219429027,80,0.4,192,100,0.0001748200454878528,312,0.0007611734189662909,4,1,adam,"{'neurons_per_layer_encoder': [192], 'neurons_per_layer_decoder': [192, 96, 48, 24]}",192,"[192, 96, 48, 24]",[192],[0.030871096483843896],[0.03968689459783703],0.7340404839200106,COMPLETE
34,-0.39923440066508165,0.12939385841686657,2025-01-09 21:25:30.838948,2025-01-09 21:25:45.339518,0 days 00:00:14.500570,0.012281178777341646,40,0.4,176,100,4.270100222285705e-05,504,7.893792269018906e-05,4,2,adam,"{'neurons_per_layer_encoder': [176, 352], 'neurons_per_layer_decoder': [352, 176, 88, 44]}",176,"[352, 176, 88, 44]","[176, 352]",[-0.39923440066508165],[0.12939385841686657],0.7205399991358988,COMPLETE
35,0.5922763629475727,0.32203951644731665,2025-01-09 21:25:30.940438,2025-01-09 21:25:36.389333,0 days 00:00:05.448895,0.012458604570295198,40,0.4,188,100,0.0001587682144126232,292,0.0009388104817658664,1,1,adam,"{'neurons_per_layer_encoder': [188], 'neurons_per_layer_decoder': [188]}",188,[188],[188],[0.5922763629475727],[0.32203951644731665],0.6052758265193171,COMPLETE
36,-0.25547144018090795,-0.03692244597182759,2025-01-09 21:25:31.150575,2025-01-09 21:26:34.756477,0 days 00:01:03.605902,0.012268482457112987,128,0.1,188,100,0.00012439957467434142,7160,2.252410641487622e-05,1,5,adadelta,"{'neurons_per_layer_encoder': [188, 376, 752, 1504, 3008], 'neurons_per_layer_decoder': [3008]}",188,[3008],"[188, 376, 752, 1504, 3008]",[-0.25547144018090795],[-0.03692244597182759],0.9711881748128878,COMPLETE
37,-1.5580360448142234,-0.26144623329054095,2025-01-09 21:25:31.335775,2025-01-09 21:26:47.907386,0 days 00:01:16.571611,0.012471600497785788,128,0.1,192,100,0.00012564623166998228,7640,0.000551138871725508,4,5,adadelta,"{'neurons_per_layer_encoder': [192, 384, 768, 1536, 3072], 'neurons_per_layer_decoder': [3072, 1536, 768, 384]}",192,"[3072, 1536, 768, 384]","[192, 384, 768, 1536, 3072]",[-1.5580360448142234],[-0.26144623329054095],0.9723640799107112,COMPLETE
38,-3.61291872358475,-0.04344945881900664,2025-01-09 21:25:35.114316,2025-01-09 21:25:47.018328,0 days 00:00:11.904012,0.012439740314507413,128,0.1,64,100,3.707100505436619e-05,1560,2.1137744275478235e-05,1,5,adadelta,"{'neurons_per_layer_encoder': [64, 128, 256, 512, 1024], 'neurons_per_layer_decoder': [1024]}",64,[1024],"[64, 128, 256, 512, 1024]",[-3.61291872358475],[-0.04344945881900664],0.6795178687457339,COMPLETE
39,-0.2333955026599257,-0.25046015574056013,2025-01-09 21:25:36.434480,2025-01-09 21:27:06.750376,0 days 00:01:30.315896,0.012601618555176334,40,0.1,188,100,3.710658006619524e-05,7064,1.9478498675791682e-05,1,5,adadelta,"{'neurons_per_layer_encoder': [188, 376, 752, 1504, 3008], 'neurons_per_layer_decoder': [3008]}",188,[3008],"[188, 376, 752, 1504, 3008]",[-0.2333955026599257],[-0.25046015574056013],0.9053951880683871,COMPLETE
40,-0.5978316832567794,-0.18626489069684538,2025-01-09 21:25:45.349790,2025-01-09 21:26:41.083026,0 days 00:00:55.733236,0.01239253519197898,112,0.1,152,100,0.0004457027550586916,5656,1.9381330125900296e-05,1,5,adadelta,"{'neurons_per_layer_encoder': [152, 304, 608, 1216, 2432], 'neurons_per_layer_decoder': [2432]}",152,[2432],"[152, 304, 608, 1216, 2432]",[-0.5978316832567794],[-0.18626489069684538],0.9876666158058324,COMPLETE
41,-2.607589734247353,-0.007720176233716458,2025-01-09 21:25:47.027358,2025-01-09 21:26:04.085211,0 days 00:00:17.057853,0.013017230313626109,120,0.1,188,100,0.0004134611599968933,592,0.0005664416296322977,1,2,adadelta,"{'neurons_per_layer_encoder': [188, 376], 'neurons_per_layer_decoder': [376]}",188,[376],"[188, 376]",[-2.607589734247353],[-0.007720176233716458],0.8891382188638232,COMPLETE
