number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_num_dec_steps (n_steps),params_num_feature_att (n_a),params_num_feature_dim (n_d),params_optimizer,params_sparsity reg (lambda_sparse),params_strength_feature_penalty (gamma),params_virtual_batch_size,user_attrs_relative_deterioration,state
63,0.017904889102752997,2024-10-17 11:37:47.468119,2024-10-17 11:38:42.248123,0 days 00:00:54.780004,96,10,0.006048604732860322,4,36,32,RMSprop,0.00017242582737822206,0.9031505869046135,88,0.2539121005093184,COMPLETE
64,0.027501377355415094,2024-10-17 11:37:56.128018,2024-10-17 11:38:37.100534,0 days 00:00:40.972516,104,10,0.004482251736868612,3,36,32,RMSprop,0.00017069331448812746,0.8982970408450336,96,-0.008881277556556265,COMPLETE
65,0.004565774723867686,2024-10-17 11:38:13.677007,2024-10-17 11:41:16.019431,0 days 00:03:02.342424,96,50,0.004454502604227738,5,36,32,RMSprop,0.0001650041059013751,0.8785343255800281,96,0.40506085376566986,COMPLETE
66,0.007213944892950932,2024-10-17 11:38:28.517892,2024-10-17 11:41:46.329587,0 days 00:03:17.811695,88,50,0.004377869115333704,5,36,20,RMSprop,0.00020115788955260455,0.8890809847905852,96,0.17702746092742633,COMPLETE
67,0.00448758158922334,2024-10-17 11:38:37.107752,2024-10-17 11:41:37.691779,0 days 00:03:00.584027,96,50,0.007437412443085476,5,36,20,RMSprop,0.0001895579930716361,0.8674595084149186,96,0.4059132368183414,COMPLETE
68,0.004024434603726837,2024-10-17 11:38:38.128386,2024-10-17 11:43:40.310710,0 days 00:05:02.182324,56,50,0.003817692668372836,5,36,20,RMSprop,0.00011233647479581017,0.8577621501483929,88,0.48619736412521447,COMPLETE
69,0.00458332192223688,2024-10-17 11:38:42.255783,2024-10-17 11:43:46.651876,0 days 00:05:04.396093,56,50,0.00738694535030852,5,32,20,RMSprop,0.00011273743642685923,0.8770572572627731,88,0.3942792913402594,COMPLETE
70,0.004339041348528481,2024-10-17 11:40:34.040575,2024-10-17 11:45:36.598267,0 days 00:05:02.557692,56,50,0.007408947386542642,5,32,20,RMSprop,0.00010913422798093807,0.8585373833344455,96,0.3960580505500909,COMPLETE
71,0.01316075885877903,2024-10-17 11:41:16.027408,2024-10-17 11:44:33.303050,0 days 00:03:17.275642,88,50,0.003655594412802044,5,32,20,RMSprop,0.0003444921599378335,0.8664879356444237,96,-0.38141936414716554,COMPLETE
72,0.01750531519459012,2024-10-17 11:41:37.699811,2024-10-17 11:44:31.750356,0 days 00:02:54.050545,88,50,0.0016776855007131373,5,32,20,RMSprop,0.00011317905426280135,0.8628706770544399,104,-0.30634228128034874,COMPLETE
73,0.004309033985405122,2024-10-17 11:41:46.337638,2024-10-17 11:46:45.425892,0 days 00:04:59.088254,64,50,0.00733626950512457,6,32,12,RMSprop,0.00033804069798074824,0.8675062190175694,104,0.4363973695869077,COMPLETE
74,0.0056712545557755486,2024-10-17 11:43:40.318253,2024-10-17 11:48:57.817664,0 days 00:05:17.499411,64,50,0.0074783265442598485,6,28,12,RMSprop,0.00011450580033372294,0.8682642564546104,104,0.361694233959002,COMPLETE
75,0.011490110384114115,2024-10-17 11:43:46.659517,2024-10-17 11:47:38.932545,0 days 00:03:52.273028,88,50,0.0036460657716446895,6,28,12,RMSprop,0.0003462912504316256,0.8515343404091431,104,-0.07293737395810271,COMPLETE
76,0.005041415824538062,2024-10-17 11:44:31.757888,2024-10-17 11:49:04.086897,0 days 00:04:32.329009,64,50,0.0038704236019248897,5,28,12,RMSprop,0.0003341148672134002,0.8574846221086114,104,0.4424152796951492,COMPLETE
77,0.005938299562105411,2024-10-17 11:44:33.310927,2024-10-17 11:49:05.994562,0 days 00:04:32.683635,64,50,0.003834468088265731,5,28,12,RMSprop,0.00010052896803913717,0.8449132057618219,104,0.32139126994309686,COMPLETE
78,0.005393242347219054,2024-10-17 11:45:36.607434,2024-10-17 11:50:55.170276,0 days 00:05:18.562842,64,50,0.0038160396015098617,6,28,12,RMSprop,0.0001025927583355795,0.8267721105396358,104,0.3944921203719504,COMPLETE
79,0.004934785285050665,2024-10-17 11:46:45.435429,2024-10-17 11:52:00.204497,0 days 00:05:14.769068,64,50,0.0040389397562406405,6,28,12,RMSprop,0.00010223737172110499,0.8544491152145206,104,0.41853383420569173,COMPLETE
80,0.005460178962258282,2024-10-17 11:47:38.940892,2024-10-17 11:52:53.645332,0 days 00:05:14.704440,64,50,0.004018646854792476,6,28,12,RMSprop,0.0004984335642213201,0.8331260890956795,104,0.43229435446095554,COMPLETE
81,0.0064219363613731845,2024-10-17 11:48:57.826209,2024-10-17 11:54:16.210890,0 days 00:05:18.384681,64,50,0.008978575902946956,6,32,28,RMSprop,0.0001003608381249984,1.0576135035908198,72,0.27249839928697905,COMPLETE
