Nb,Cr,V,W,Zr,PROP LT (K),PROP ST (K),PROP 500C CTE (1/K),PROP 1000C CTE (1/K),PROP 1500C CTE (1/K),EQ 1273K THCD (W/mK),EQ 1273K Density (g/cc),EQ 1273K MAX BCC,EQ 1273K SUM BCC,EQ 1523K THCD (W/mK),EQ 1523K Density (g/cc),EQ 1523K MAX BCC,EQ 1523K SUM BCC,EQ 1773K MAX BCC,EQ 1773K SUM BCC,EQ 2023K MAX BCC,EQ 2023K SUM BCC,EQ 2273K MAX BCC,EQ 2273K SUM BCC,EQ 2523K MAX BCC,EQ 2523K SUM BCC,EQ 2773K MAX BCC,EQ 2773K SUM BCC,EQ 3023K MAX BCC,EQ 3023K SUM BCC,EQ 2/3*ST THCD (W/mK),EQ 2/3*ST Density (g/cc),Pugh_Ratio_PRIOR,YS 1000C PRIOR,YS 1500C PRIOR,SCHEIL ST,SCHEIL LT,Kou Criteria,SCHEIL BCC_B2,SCHEIL BCC_B2#2,SCHEIL MAX BCC,1500 Min Creep CB [1/s]
0.15,0.25,0.0,0.1,0.5,2065.927433,1624.450489,8.38e-06,8.78e-06,2e-05,3.211751424,8.843652161,0.413068019,0.542113091,2.230458497,8.747217282,0.456152219,0.561026438,0.099168445,0.099168445,0.023108676,0.023108676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.818779607,8.892411306,2.305189094,1203.729029,822.1281722,2066.017431,1599.264306,4.797375155,0.478829635,0.101912135,0.478829635,3.78e-16
0.15,0.25,0.0,0.15,0.45,2209.805691,1633.263744,8.44e-06,8.79e-06,1.8e-05,3.918883519,9.708748576,0.321848831,0.490762676,2.648305125,9.604575515,0.349296292,0.507193223,0.149312703,0.149312703,0.108369203,0.108369203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.773250502,9.76599239,2.264069264,1518.021226,1077.542916,2209.895688,1598.122563,10.21179211,0.599093086,0.0,0.599093086,3.2e-16
0.15,0.25,0.0,0.2,0.4,2329.485852,1642.376192,8.52e-06,8.81e-06,1.6e-05,4.34030941,10.66494014,0.237473631,0.436781471,2.905017922,10.54629955,0.25461892,0.452545501,0.195525261,0.195525261,0.187841233,0.187841233,0.046187649,0.046187649,0.0,0.0,0.0,0.0,0.0,0.0,6.243662835,10.73500787,2.224211424,1820.055606,1329.462356,2329.575849,1599.611474,20.72314594,0.564683282,0.0,0.564683282,2.73e-16
0.15,0.25,0.0,0.25,0.35,2436.817155,1651.322558,8.61e-06,8.84e-06,1.39e-05,4.444427756,11.72736881,0.2241695,0.380608578,2.965373253,11.58728405,0.23056354,0.396857054,0.238373786,0.238373786,0.264499206,0.264499206,0.138094563,0.138094563,0.0,0.0,0.0,0.0,0.0,0.0,6.265420875,11.81435154,2.185558354,2097.123164,1565.259518,2436.907154,1599.516529,16.87487101,0.550486226,0.0,0.550486226,2.35e-16
0.15,0.25,0.0,0.3,0.3,2538.000479,1659.920728,8.73e-06,8.89e-06,1.17e-05,4.215185098,12.91423594,0.245393467,0.322639469,2.801198855,12.74481594,0.258443139,0.340134819,0.278370191,0.278370191,0.318237493,0.318237493,0.228354259,0.228354259,0.017366034,0.017366034,0.0,0.0,0.0,0.0,5.874271151,13.0225469,2.148056245,2335.356841,1771.529071,2538.090473,1599.592348,24.01823026,0.555923286,0.0,0.555923286,2.04e-16
0.15,0.25,0.0,0.35,0.25,2636.490578,1679.625117,8.84e-06,8.94e-06,9.3e-06,3.805400799,14.2367592,0.264881601,0.264881601,2.434884808,14.03419019,0.283313782,0.283313782,0.31595771,0.31595771,0.372077961,0.372077961,0.318852875,0.318852875,0.132551644,0.132551644,0.0,0.0,0.0,0.0,5.730471423,14.34165221,2.111654442,2518.962628,1933.413947,2636.580575,1599.496825,50.94819554,0.573279022,0.0,0.573279022,1.79e-16
0.15,0.25,0.0,0.4,0.2,2734.180854,1962.970079,8e-06,8.17e-06,8.47e-06,24.84643797,14.31951227,0.400967244,0.400967244,18.2366646,14.22399058,0.404283033,0.404283033,0.414503239,0.414503239,0.444248917,0.444248917,0.411762887,0.411762887,0.249146802,0.249146802,0.0,0.0,0.0,0.0,24.12621402,14.30660215,2.076305221,2629.327637,2033.867032,2734.270853,1599.677103,392.9240157,0.597228758,0.0,0.597228758,4.13e-17
0.0,0.3,0.35,0.35,0.0,2683.399925,2368.770848,7.64e-06,8.46e-06,9.87e-06,0.934492389,8.53323877,0.115224331,0.115224331,1.551229247,8.420345279,0.12494392,0.12494392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387751607,8.643645449,2.053301512,891.4449794,593.3212536,2683.489919,2198.394294,160.2743034,0.9907596,0.0,0.9907596,1.93e-16
0.0,0.3,0.4,0.3,0.0,2590.381547,2343.315675,7.91e-06,8.77e-06,1.02e-05,44.44434655,10.62485096,1.0,1.0,44.75871629,10.53165301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.136652533,0.136652533,0.0,0.0,0.0,0.0,44.79701284,10.5155947,2.105691057,734.1681836,471.6728315,2590.471542,2197.375917,146.5357953,0.990847056,0.0,0.990847056,4.84e-16
0.0,0.3,0.45,0.25,0.0,2499.106734,2317.182948,8.18e-06,9.08e-06,1.06e-05,43.01361942,9.913333788,1.0,1.0,43.51249714,9.823389467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5496469,9.814837111,2.160432253,580.1287648,356.7919729,2499.196732,2196.101107,130.8600426,0.991239517,0.0,0.991239517,1.2e-15
