number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out_rate,params_epochs,params_kernel_size,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
88,0.013501673778935986,2024-10-10 12:42:26.836547,2024-10-10 12:47:59.239631,0 days 00:05:32.403084,32,0.1,50,4,96,0.0002701645710996763,adam,0.5076761465598724,0.8363285280229172,COMPLETE
89,0.3805647029532196,2024-10-10 12:47:59.245425,2024-10-10 12:49:19.170245,0 days 00:01:19.924820,32,0.1,50,4,96,0.00021789503228134222,adadelta,0.8180560548407088,-3.61332321715918,COMPLETE
90,0.008873164537579742,2024-10-16 09:01:25.754641,2024-10-16 09:07:24.617965,0 days 00:05:58.863324,32,0.2,50,4,96,0.0001975128868422467,adam,0.5646874227729609,0.892436750825202,COMPLETE
91,0.018778914393115135,2024-10-16 09:07:24.624828,2024-10-16 09:13:12.587595,0 days 00:05:47.962767,32,0.1,50,4,96,0.0003019910943192738,adam,0.31076030860766773,0.772356182561019,COMPLETE
92,0.007728428717769878,2024-10-16 09:13:12.593114,2024-10-16 09:19:16.206166,0 days 00:06:03.613052,32,0.1,50,4,96,0.0002501696776091802,adam,0.5196867111619157,0.9063135930390522,COMPLETE
93,0.011338602580719318,2024-10-16 09:19:16.211679,2024-10-16 09:25:03.555062,0 days 00:05:47.343383,32,0.1,50,4,96,0.00032409459206504557,adam,0.48306922861221696,0.8625499471447214,COMPLETE
94,0.011265361792599083,2024-10-16 09:25:03.560285,2024-10-16 09:30:34.832154,0 days 00:05:31.271869,32,0.1,50,4,96,0.0002733044084416149,adam,0.37847874767662176,0.8634377946661971,COMPLETE
95,0.02100879353799726,2024-10-16 09:30:34.837633,2024-10-16 09:36:01.884375,0 days 00:05:27.046742,32,0.1,50,4,96,0.00023823878475386895,adam,0.3538738065085343,0.7453248968145627,COMPLETE
96,0.0037963372397444373,2024-10-16 09:36:01.889874,2024-10-16 09:41:26.468473,0 days 00:05:24.578599,32,0.1,50,4,64,0.00037699780478077095,adam,0.6639200845250663,0.9539796239841196,COMPLETE
97,0.005788823243987668,2024-10-16 09:41:26.474436,2024-10-16 09:46:48.599577,0 days 00:05:22.125141,32,0.1,50,4,64,0.0002874451862015984,adam,0.5298711683199556,0.9298260914260307,COMPLETE
98,0.012675813129277555,2024-10-16 09:46:48.604906,2024-10-16 09:51:57.969451,0 days 00:05:09.364545,32,0.1,50,4,64,0.00045301324542917584,adam,0.42096339496085683,0.8463398666458681,COMPLETE
99,0.005061723795766634,2024-10-16 09:51:57.975025,2024-10-16 09:57:08.728988,0 days 00:05:10.753963,32,0.1,50,4,64,0.0003747782018473624,adam,0.5788723540226275,0.9386402161717879,COMPLETE
100,0.004852968039908017,2024-10-16 22:32:44.263650,2024-10-16 22:42:10.992545,0 days 00:09:26.728895,32,0.1,50,4,64,0.0003797761739888817,adam,0.5828086781281263,0.9411708181108136,COMPLETE
101,0.005220171478910272,2024-10-16 22:32:44.263693,2024-10-16 22:42:01.172622,0 days 00:09:16.908929,32,0.1,50,4,64,0.00038138973611345864,adam,0.5531911180418322,0.9367194642742019,COMPLETE
102,0.005902577109620581,2024-10-16 22:32:44.263675,2024-10-16 22:41:54.467025,0 days 00:09:10.203350,32,0.1,50,4,64,0.0003820418803835938,adam,0.529533667751385,0.9284471318291644,COMPLETE
103,0.01054441362652655,2024-10-16 22:32:44.263712,2024-10-16 22:42:08.454968,0 days 00:09:24.191256,32,0.1,50,4,64,0.00037825562315411043,adam,0.4426807766354967,0.8721773516642605,COMPLETE
104,0.013762207678775434,2024-10-16 22:32:44.263763,2024-10-16 22:41:52.398574,0 days 00:09:08.134811,32,0.1,50,4,64,0.0003707930169542931,adam,0.37496778094531213,0.8331702553831815,COMPLETE
105,0.007176516790732481,2024-10-16 22:41:52.413822,2024-10-16 22:51:17.188585,0 days 00:09:24.774763,32,0.1,50,4,64,0.0004355073281907132,adam,0.5710491516954727,0.9130040403849841,COMPLETE
106,0.0054464686694485984,2024-10-16 22:41:54.480103,2024-10-16 22:51:10.085224,0 days 00:09:15.605121,32,0.1,50,4,64,0.0003138942723485603,adam,0.547831515142388,0.9339762196301586,COMPLETE
107,0.008592834242387291,2024-10-16 22:42:01.186011,2024-10-16 22:51:17.452282,0 days 00:09:16.266271,32,0.1,50,4,64,0.00031114441306160083,adam,0.5144386376225845,0.8958350015017589,COMPLETE
108,0.009752077674031164,2024-10-16 22:42:08.472486,2024-10-16 22:51:41.035420,0 days 00:09:32.562934,32,0.1,50,4,64,0.00040991365412874073,adam,0.4698908248735505,0.8817822935232175,COMPLETE
109,0.0070776723504626105,2024-10-16 22:42:11.009700,2024-10-16 22:51:57.203948,0 days 00:09:46.194248,32,0.1,50,4,64,0.00035557428695651123,adam,0.593264134975245,0.9142022633090899,COMPLETE
110,0.04288468411073435,2024-10-16 22:51:10.094283,2024-10-16 22:58:59.455782,0 days 00:07:49.361499,32,0.1,50,4,64,0.0004123659839430168,sgd,0.44428697847974064,0.48013857477237587,COMPLETE
111,0.035116766291247464,2024-10-16 22:51:17.201236,2024-10-16 22:59:12.264676,0 days 00:07:55.063440,32,0.1,50,4,64,0.00041697578703104454,sgd,0.47853449227445627,0.5743036808569211,COMPLETE
112,0.0850898781851853,2024-10-16 22:51:17.465511,2024-10-16 22:52:49.646507,0 days 00:01:32.180996,32,0.3,10,4,64,0.0004090719359537712,sgd,0.5796757951050377,-0.031485861749020794,COMPLETE
113,0.05412364142727353,2024-10-16 22:51:41.044540,2024-10-16 22:59:51.286752,0 days 00:08:10.242212,32,0.3,50,4,64,0.000468109351539501,sgd,0.15018080787924235,0.34389645267671565,COMPLETE
114,0.07578899730420571,2024-10-16 22:51:57.213482,2024-10-16 22:53:29.655360,0 days 00:01:32.441878,32,0.3,10,4,64,0.000340807863848634,sgd,0.7047379324462719,0.08126229743464763,COMPLETE
115,0.007369684636510878,2024-10-16 22:52:49.655908,2024-10-16 23:01:16.705203,0 days 00:08:27.049295,32,0.1,50,4,64,0.00034209705287395606,adam,0.554127930873631,0.9106623999206354,COMPLETE
116,0.008475724729572373,2024-10-16 22:53:29.666363,2024-10-16 23:01:52.736951,0 days 00:08:23.070588,32,0.1,50,4,64,0.00026380607337954593,adam,0.5383979038044207,0.8972546392932481,COMPLETE
117,0.0052183711129577415,2024-10-16 22:58:59.466380,2024-10-16 23:06:31.877971,0 days 00:07:32.411591,32,0.1,50,4,64,0.00025956484993722666,adam,0.5953144305346575,0.9367412888679799,COMPLETE
118,0.005639249975216851,2024-10-16 22:59:12.277074,2024-10-16 23:06:41.927767,0 days 00:07:29.650693,32,0.1,50,4,64,0.0002639883638233476,adam,0.5692720207869072,0.9316392649235519,COMPLETE
119,0.006031366814726041,2024-10-16 22:59:51.298240,2024-10-16 23:07:03.885382,0 days 00:07:12.587142,32,0.1,50,4,64,0.00022550546240190776,adam,0.6035544455269339,0.9268859031285428,COMPLETE
