number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,state
63,0.03245820488556866,2024-10-03 15:07:31.926127,2024-10-03 15:13:05.089339,0 days 00:05:33.163212,0.015142739799882643,80,0.4,50,9.354886623519664e-06,64,0.009784261622844017,adam,0.36292250456084235,COMPLETE
64,0.13668291126804913,2024-10-03 15:07:31.926509,2024-10-03 15:08:42.623127,0 days 00:01:10.696618,0.012541115288790797,112,0.4,50,9.632307600240523e-06,64,0.00035987003087300276,adam,-0.4716894519261322,COMPLETE
65,0.008499919488504263,2024-10-03 15:07:31.926002,2024-10-03 15:12:20.249141,0 days 00:04:48.323139,0.013723939916876843,112,0.1,50,9.8678818339641e-06,64,0.00040865126667917636,adam,0.7774067600128649,COMPLETE
66,0.012479431255140016,2024-10-03 15:08:42.639345,2024-10-03 15:15:09.552181,0 days 00:06:26.912836,0.030357324089578232,64,0.1,50,1.8445618530756497e-05,192,0.0005788887205262227,adam,0.586438952632308,COMPLETE
67,0.005378310509939589,2024-10-03 15:08:42.838366,2024-10-03 15:15:14.547754,0 days 00:06:31.709388,0.02985061198777285,64,0.1,50,1.6429787564565868e-05,192,0.00011611351723919718,adam,0.929395516466683,COMPLETE
68,0.004742628550274554,2024-10-03 15:11:43.887282,2024-10-03 15:16:47.978031,0 days 00:05:04.090749,0.030275723692191996,96,0.1,50,1.3065668834394406e-05,192,0.00011414289198625587,adam,0.932930986708439,COMPLETE
69,0.029918573393797894,2024-10-03 15:11:58.656757,2024-10-03 15:16:41.223238,0 days 00:04:42.566481,0.02936276966718725,64,0.1,50,1.4921355466082247e-05,192,0.009968131004278132,adam,0.18039000517474815,COMPLETE
70,0.09684807210477413,2024-10-03 15:12:20.275279,2024-10-03 15:14:22.376240,0 days 00:02:02.100961,0.02895006093150476,64,0.1,50,1.3204843637854477e-05,192,0.00011643856652354097,adadelta,0.4781422503775223,COMPLETE
71,0.04096209088196272,2024-10-03 15:13:05.128519,2024-10-03 15:21:54.216524,0 days 00:08:49.088005,0.03023862888407686,64,0.1,50,1.4335492193374827e-05,192,0.0006077913958944927,adadelta,0.71793538384761,COMPLETE
72,0.01170497927411459,2024-10-03 15:14:22.393478,2024-10-03 15:16:06.157896,0 days 00:01:43.764418,0.029866360555075855,64,0.1,10,7.0932305105674325e-06,192,0.0006016877909635062,adam,0.780691171245571,COMPLETE
73,0.016800818445434292,2024-10-03 15:15:09.565696,2024-10-03 15:16:25.681611,0 days 00:01:16.115915,0.03752614335684266,96,0.1,10,6.859471838228684e-06,192,0.0002493096509534657,adam,0.6815180690189637,COMPLETE
74,0.013891071096690293,2024-10-03 15:15:14.569421,2024-10-03 15:16:25.513963,0 days 00:01:10.944542,0.11232825933477028,96,0.1,10,7.558737641420252e-06,192,0.00016261413419219517,adam,0.7764181668082932,COMPLETE
75,0.005065180282289556,2024-10-03 15:16:06.271419,2024-10-03 15:22:58.849494,0 days 00:06:52.578075,0.03758412915580784,96,0.2,50,2.4760835983094054e-06,192,0.0001572955810931082,adam,0.8088075124605686,COMPLETE
76,0.005806724040612008,2024-10-03 15:16:25.524910,2024-10-03 15:24:45.942509,0 days 00:08:20.417599,0.03745321742372196,64,0.1,50,1.5070505195738713e-06,192,0.0001481336671977211,adam,0.7054433766392203,COMPLETE
77,0.007654647659877881,2024-10-03 15:16:25.692300,2024-10-03 15:24:38.117268,0 days 00:08:12.424968,0.19978410018174167,64,0.1,50,2.4647283910000644e-06,192,0.00014697735935510073,adam,0.6948236391885576,COMPLETE
78,0.005222965919190223,2024-10-03 15:16:41.241165,2024-10-03 15:25:22.351356,0 days 00:08:41.110191,0.04874685014493046,64,0.1,50,2.5690214823943973e-06,192,0.00015441855521950183,adam,0.7825024313703935,COMPLETE
79,0.004746885587201674,2024-10-03 15:16:47.999645,2024-10-03 15:22:10.152455,0 days 00:05:22.152810,0.04681500020667666,96,0.1,50,3.978406534914092e-06,192,0.00014716545102351513,adam,0.8537614109357896,COMPLETE
80,0.0073948615512138575,2024-10-03 15:21:54.230959,2024-10-03 15:27:57.933616,0 days 00:06:03.702657,0.04575630846399109,96,0.2,50,2.465473024907092e-05,192,0.0001489448910972975,adam,0.9301191626367141,COMPLETE
81,0.006002623394770458,2024-10-03 15:22:10.167039,2024-10-03 15:28:33.371453,0 days 00:06:23.204414,0.02466108065581464,80,0.1,50,2.1511315728906806e-05,192,0.00019484995677399017,adam,0.9164884150508821,COMPLETE
82,0.004535360125673783,2024-10-03 15:22:59.017842,2024-10-03 15:29:06.125712,0 days 00:06:07.107870,0.02592602113990653,80,0.1,50,2.255046581377575e-05,192,0.00019281113436018553,adam,0.938210777532804,COMPLETE
83,0.004879162049234914,2024-10-03 15:24:38.190718,2024-10-03 15:30:29.571958,0 days 00:05:51.381240,0.02506744949647285,80,0.1,50,2.615746113040398e-05,192,0.00019856333487192865,adam,0.9352528418725614,COMPLETE
84,0.006871988178092136,2024-10-03 15:24:45.982211,2024-10-03 15:30:41.663873,0 days 00:05:55.681662,0.024620415585059424,80,0.2,50,2.5600453118869922e-05,192,0.00019903586710040007,adam,0.9188934992309716,COMPLETE
85,0.008954720288511762,2024-10-03 15:25:22.397785,2024-10-03 15:31:16.487515,0 days 00:05:54.089730,0.0245601142334418,80,0.2,50,2.8392748720372937e-05,192,0.00019283972818065866,adam,0.9035280479556292,COMPLETE
86,0.003964864132486817,2024-10-03 15:27:57.946297,2024-10-03 15:32:14.087531,0 days 00:04:16.141234,0.021922083248985074,96,0.1,50,2.5249955715928646e-05,192,0.00019192922959312768,adam,0.9535493570432244,COMPLETE
87,0.004334246604196871,2024-10-03 15:28:33.392114,2024-10-03 15:32:31.904033,0 days 00:03:58.511919,0.023087555965495908,96,0.1,50,3.818327113668331e-06,192,0.0001240813874820083,adam,0.8585348353427266,COMPLETE
88,0.04458089560727407,2024-10-03 15:31:16.497508,2024-10-03 15:33:37.542092,0 days 00:02:21.044584,0.021858432338577677,96,0.1,50,1.1974733409886024e-05,192,0.0002576401350561052,sgd,0.6792451074410104,COMPLETE
89,0.0403818335969011,2024-10-03 15:32:14.097168,2024-10-03 15:34:29.390304,0 days 00:02:15.293136,0.021821218620472104,64,0.1,50,3.8641704425798134e-05,192,0.0003401054664136027,sgd,0.851635700136832,COMPLETE
90,0.004120349873678987,2024-10-16 12:25:43.025765,2024-10-16 12:30:17.159184,0 days 00:04:34.133419,0.01869700785011687,96,0.1,50,3.3902002963859687e-06,192,0.00012097573074705006,adam,0.8538816939316886,COMPLETE
