number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
33,0.14919563113935597,2025-01-10 14:21:38.088017,2025-01-10 14:21:42.243264,0 days 00:00:04.155247,0.04699739064220198,40,0.30000000000000004,64,100,6.556170738970549e-05,472,0.00023672395285533727,2,3,adadelta,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256, 128]}",64,"[256, 128]","[64, 128, 256]",[0.14919563113935597],0.8305499715649524,COMPLETE
34,-0.39471332076322185,2025-01-10 14:21:38.358663,2025-01-10 14:21:43.014712,0 days 00:00:04.656049,0.04755502331193191,40,0.30000000000000004,160,100,0.00038992142865100363,776,0.00030901738056220124,1,3,adam,"{'neurons_per_layer_encoder': [160, 320, 640], 'neurons_per_layer_decoder': [640]}",160,[640],"[160, 320, 640]",[-0.39471332076322185],0.9385054850067636,COMPLETE
35,-0.37783575231161115,2025-01-10 14:21:38.648746,2025-01-10 14:21:41.066760,0 days 00:00:02.418014,0.04685039600443901,40,0.30000000000000004,56,100,0.00023780184342192637,456,5.7012495033562315e-05,2,3,adam,"{'neurons_per_layer_encoder': [56, 112, 224], 'neurons_per_layer_decoder': [224, 112]}",56,"[224, 112]","[56, 112, 224]",[-0.37783575231161115],0.8852888579312458,COMPLETE
36,-0.2257891826938725,2025-01-10 14:21:39.389254,2025-01-10 14:21:42.260962,0 days 00:00:02.871708,0.040613193151004874,40,0.4,60,100,7.593428647750144e-05,472,0.00025832058421725577,2,3,adam,"{'neurons_per_layer_encoder': [60, 120, 240], 'neurons_per_layer_decoder': [240, 120]}",60,"[240, 120]","[60, 120, 240]",[-0.2257891826938725],0.7220137651546926,COMPLETE
37,-0.19884605722004411,2025-01-10 14:21:40.657426,2025-01-10 14:21:43.181171,0 days 00:00:02.523745,0.04239217389045525,40,0.4,24,100,0.0005799779847162513,152,2.1259245029549352e-05,1,3,adam,"{'neurons_per_layer_encoder': [24, 48, 96], 'neurons_per_layer_decoder': [96]}",24,[96],"[24, 48, 96]",[-0.19884605722004411],0.8764126117315008,COMPLETE
38,0.17383674850097708,2025-01-10 14:21:41.074735,2025-01-10 14:21:43.869599,0 days 00:00:02.794864,0.07682861567642509,64,0.4,20,100,0.000507783144303384,22,2.1529906675539748e-05,1,1,adam,"{'neurons_per_layer_encoder': [20], 'neurons_per_layer_decoder': [20]}",20,[20],[20],[0.17383674850097708],0.7940254214292,COMPLETE
39,-0.37057842972017685,2025-01-10 14:21:42.251461,2025-01-10 14:21:45.894183,0 days 00:00:03.642722,0.07619444371374891,32,0.4,24,100,0.0006433807404916987,520,2.3535762595306534e-05,1,5,adam,"{'neurons_per_layer_encoder': [24, 48, 96, 192, 384], 'neurons_per_layer_decoder': [384]}",24,[384],"[24, 48, 96, 192, 384]",[-0.37057842972017685],0.9565236683452724,COMPLETE
40,-0.13408885487556832,2025-01-10 14:21:42.274119,2025-01-10 14:21:45.032095,0 days 00:00:02.757976,0.07618080641482518,32,0.4,28,100,0.0005258952177032169,664,2.1910124358151122e-05,1,5,adadelta,"{'neurons_per_layer_encoder': [28, 56, 112, 224, 448], 'neurons_per_layer_decoder': [448]}",28,[448],"[28, 56, 112, 224, 448]",[-0.13408885487556832],0.9640244401076992,COMPLETE
41,-0.09614788273293606,2025-01-10 14:21:43.024985,2025-01-10 14:21:47.389871,0 days 00:00:04.364886,0.06398520363729777,32,0.4,36,100,0.00020403640272636243,696,2.2788366131170872e-05,1,5,adadelta,"{'neurons_per_layer_encoder': [36, 72, 144, 288, 576], 'neurons_per_layer_decoder': [576]}",36,[576],"[36, 72, 144, 288, 576]",[-0.09614788273293606],0.9375652701392638,COMPLETE
42,0.0363936921405037,2025-01-10 14:21:43.189566,2025-01-10 14:21:54.222065,0 days 00:00:11.032499,0.07794920102862996,32,0.4,104,100,0.000212427968982959,2936,0.00019139070688646963,1,5,adadelta,"{'neurons_per_layer_encoder': [104, 208, 416, 832, 1664], 'neurons_per_layer_decoder': [1664]}",104,[1664],"[104, 208, 416, 832, 1664]",[0.0363936921405037],0.978851885498345,COMPLETE
